"kingdom","phylum","class","order","family","genus","species"
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp."
"Animalia","Chordata","Teleostei","Perciformes","Callionymidae","Callionymus","Callionymus reticulatus"
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Crystallogobius","Crystallogobius linearis"
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus"
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae",NA,NA
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus"
"Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomber","Scomber scombrus"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Anisarchus|Leptoclinus","Anisarchus medius|Leptoclinus maculatus"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Chirolophis","Chirolophis ascanii"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus|Leptoclinus","Lumpenus lampretaeformis|Leptoclinus maculatus"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes polaris"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes terraenovae"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus"
"Animalia","Chordata","Teleostei","Perciformes",NA,NA,NA
"Animalia","Chordata","Teleostei","Perciformes|Scorpaeniformes","Stichaeidae|Cyclopteridae","Anisarchus|Cyclopterus|Leptoclinus","Anisarchus medius|Cyclopterus lumpus|Leptoclinus maculatus"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda aspera"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda limanda"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Lyopsetta","Lyopsetta exilis"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt"
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus"
