"X","Running_no","Cruise_no","Filter_no","Filter_name","Vac_valve","Operator","Comments","Date","Cruise","Station_name","CTD_station","Depth","Niskin","Bottle","Sample_type","Filter","Chip_number","x","Plate","sample_type","well","Season","Location","Month","Year","Date_2"
428,52,2020611,"27","X2020611_27",4,"THA","","12.06.2020",2020611,"OL_A",483,75,"2","2-B","Bottom",27,NA,428,"Plate_B","e_sample","E8","Summer","OL","06","2020","2020_06"
429,53,2020611,"126","X2020611_126",5,"THA","","14.06.2020",2020611,"BE_GG",547,47,"3","3-B","Bottom",126,NA,429,"Plate_B","e_sample","E9","Summer","BE","06","2020","2020_06"
431,55,2020611,"83","X2020611_83",7,"THA","","14.06.2020",2020611,"BE_EE",540,84,"2","2","Bottom",83,NA,431,"Plate_B","e_sample","E11","Summer","BE","06","2020","2020_06"
432,56,2020611,"64","X2020611_64",8,"THA","","12.06.2020",2020611,"FR_E",487,10,"10","10-B","Surface",64,NA,432,"Plate_B","e_sample","E12","Summer","FR","06","2020","2020_06"
433,57,2020611,"124","X2020611_124",9,"THA","","14.06.2020",2020611,"BE_GG",547,18,"5","5-B","Pycnocline",124,NA,433,"Plate_B","e_sample","F1","Summer","BE","06","2020","2020_06"
434,58,2020611,"112","X2020611_112",10,"THA","","14.06.2020",2020611,"BE_AC",544,11,"10","10-B","Surface",112,NA,434,"Plate_B","e_sample","F2","Summer","BE","06","2020","2020_06"
435,59,2020611,"128","X2020611_128",11,"THA","","14.06.2020",2020611,"BE_GG",547,10,"10","10-B","Surface",128,NA,435,"Plate_B","e_sample","F3","Summer","BE","06","2020","2020_06"
439,63,2020611,"104","X2020611_104",15,"THA","","14.06.2020",2020611,"BE_CC",543,11,"10","10","Surface",104,NA,439,"Plate_B","e_sample","F7","Summer","BE","06","2020","2020_06"
440,64,2020611,"61","X2020611_61",16,"THA","","12.06.2020",2020611,"FR_E",487,10,"9","9-B","Surface",61,NA,440,"Plate_B","e_sample","F8","Summer","FR","06","2020","2020_06"
441,65,2020611,"91","X2020611_91",17,"THA","","14.06.2020",2020611,"BE_EE2",541,162,"2","2-B","Bottom",91,NA,441,"Plate_B","e_sample","F9","Summer","BE","06","2020","2020_06"
442,66,2020611,"26","X2020611_26",18,"THA","","12.06.2020",2020611,"OL_A",483,NA,"MilliQ","MilliQ","BLW",26,NA,442,"Plate_B","BLW","F10","Summer","OL","06","2020","2020_06"
443,67,2020611,"108","X2020611_108",19,"THA","","14.06.2020",2020611,"BE_AC",544,59,"5","5-B","Pycnocline",108,NA,443,"Plate_B","e_sample","F11","Summer","BE","06","2020","2020_06"
444,68,2020611,"105","X2020611_105",20,"THA","","14.06.2020",2020611,"BE_AC",544,NA,"Air","Air","BLA",105,NA,444,"Plate_B","BLA","F12","Summer","BE","06","2020","2020_06"
445,69,2020611,"98","X2020611_98",21,"THA","","14.06.2020",2020611,"BE_CC",543,NA,"MilliQ","MilliQ","BLW",98,NA,445,"Plate_B","BLW","G1","Summer","BE","06","2020","2020_06"
446,70,2020611,"82","X2020611_82",22,"THA","","14.06.2020",2020611,"BE_EE",540,NA,"MilliQ","MilliQ","BLW",82,NA,446,"Plate_B","BLW","G2","Summer","BE","06","2020","2020_06"
447,71,2020611,"55","X2020611_55",23,"THA","","12.06.2020",2020611,"FR_A",486,33,"6","6","Pycnocline",55,NA,447,"Plate_B","e_sample","G3","Summer","FR","06","2020","2020_06"
448,72,2020611,"97","X2020611_97",24,"THA","","14.06.2020",2020611,"BE_CC",543,NA,"Air","Air","BLA",97,NA,448,"Plate_B","BLA","G4","Summer","BE","06","2020","2020_06"
449,73,2020611,"52","X2020611_52",1,"THA","","12.06.2020",2020611,"FR_A",486,33,"5","5","Pycnocline",52,NA,449,"Plate_B","e_sample","G5","Summer","FR","06","2020","2020_06"
450,74,2020611,"53","X2020611_53",2,"THA","","12.06.2020",2020611,"FR_A",486,10,"9","9","Surface",53,NA,450,"Plate_B","e_sample","G6","Summer","FR","06","2020","2020_06"
451,75,2020611,"101","X2020611_101",3,"THA","","14.06.2020",2020611,"BE_CC",543,11,"9","9","Surface",101,NA,451,"Plate_B","e_sample","G7","Summer","BE","06","2020","2020_06"
452,76,2020611,"123","X2020611_123",4,"THA","","14.06.2020",2020611,"BE_GG",547,47,"2","2-B","Bottom",123,NA,452,"Plate_B","e_sample","G8","Summer","BE","06","2020","2020_06"
453,77,2020611,"87","X2020611_87",5,"THA","","14.06.2020",2020611,"BE_EE",540,42,"6","6","Pycnocline",87,NA,453,"Plate_B","e_sample","G9","Summer","BE","06","2020","2020_06"
455,79,2020611,"42","X2020611_42",7,"THA","","12.06.2020",2020611,"FR_B",485,NA,"MilliQ","MilliQ","BLW",42,NA,455,"Plate_B","BLW","G11","Summer","FR","06","2020","2020_06"
456,80,2020611,"95","X2020611_95",8,"THA","","14.06.2020",2020611,"BE_EE2",541,79,"6","6-B","Pycnocline",95,NA,456,"Plate_B","e_sample","G12","Summer","BE","06","2020","2020_06"
457,81,2020611,"57","X2020611_57",9,"THA","","12.06.2020",2020611,"FR_E",487,NA,"Air","Air","BLA",57,NA,457,"Plate_B","BLA","H1","Summer","FR","06","2020","2020_06"
458,82,2020611,"32","X2020611_32",10,"THA","","12.06.2020",2020611,"OL_A",483,10,"10","10-B","Surface",32,NA,458,"Plate_B","e_sample","H2","Summer","OL","06","2020","2020_06"
460,84,2020611,"111","X2020611_111",12,"THA","","14.06.2020",2020611,"BE_AC",544,59,"6","6-B","Pycnocline",111,NA,460,"Plate_B","e_sample","H4","Summer","BE","06","2020","2020_06"
461,85,2020611,"25","X2020611_25",13,"THA","","12.06.2020",2020611,"OL_A",483,NA,"Air","Air","BLA",25,NA,461,"Plate_B","BLA","H5","Summer","OL","06","2020","2020_06"
462,86,2020611,"116","X2020611_116",14,"THA","","14.06.2020",2020611,"BE_FG",546,18,"5","5","Pycnocline",116,NA,462,"Plate_B","e_sample","H6","Summer","BE","06","2020","2020_06"
463,87,2020611,"86","X2020611_86",15,"THA","","14.06.2020",2020611,"BE_EE",540,84,"3","3","Bottom",86,NA,463,"Plate_B","e_sample","H7","Summer","BE","06","2020","2020_06"
464,88,2020611,"100","X2020611_100",16,"THA","","14.06.2020",2020611,"BE_CC",543,40,"5","5","Pycnocline",100,NA,464,"Plate_B","e_sample","H8","Summer","BE","06","2020","2020_06"
465,89,2020611,"114","X2020611_114",17,"THA","","14.06.2020",2020611,"BE_FG",546,NA,"MilliQ","MilliQ","BLW",114,NA,465,"Plate_B","BLW","H9","Summer","BE","06","2020","2020_06"
466,90,2020611,"85","X2020611_85",18,"THA","","14.06.2020",2020611,"BE_EE",540,9,"9","9","Surface",85,NA,466,"Plate_B","e_sample","H10","Summer","BE","06","2020","2020_06"
471,95,2020611,"142","X2020611_142",4,"GGU","","15.06.2020",2020611,"BA_E",559,175,"3","3-B","Bottom",142,NA,471,"Plate_NF","e_sample","D4","Summer","BA","06","2020","2020_06"
475,99,2020611,"144","X2020611_144",8,"GGU","","15.06.2020",2020611,"BA_E",559,10,"10","10-B","Surface",144,NA,475,"Plate_NF","e_sample","E4","Summer","BA","06","2020","2020_06"
480,104,2020611,"136","X2020611_136",1,"GGU","","15.06.2020",2020611,"BAL01",558,10,"10","10","Surface",136,NA,480,"Plate_NF","e_sample","F4","Summer","BA","06","2020","2020_06"
484,108,2020611,"132","X2020611_132",5,"GGU","","15.06.2020",2020611,"BAL01",558,55,"5","5","Pycnocline",132,NA,484,"Plate_NF","e_sample","G4","Summer","BA","06","2020","2020_06"
487,111,2020611,"140","X2020611_140",8,"GGU","","15.06.2020",2020611,"BA_E",559,50,"5","5-B","Pycnocline",140,NA,487,"Plate_NF","e_sample","H4","Summer","BA","06","2020","2020_06"
489,113,2020611,"141","X2020611_141",10,"GGU","","15.06.2020",2020611,"BA_E",559,10,"9","9-B","Surface",141,NA,489,"Plate_NF","e_sample","A5","Summer","BA","06","2020","2020_06"
490,114,2020611,"LB11042022","X2020611_LB11042022",11,"GGU","","",NA,"",NA,NA,"","","",NA,NA,490,"Plate_NF","LB","B5",NA,NA,"","","_"
491,115,2020611,"EB11042022","X2020611_EB11042022",12,"GGU","","",NA,"",NA,NA,"","","",NA,NA,491,"Plate_NF","EB","C5",NA,NA,"","","_"
493,117,2020611,"131","X2020611_131",14,"GGU","","15.06.2020",2020611,"BAL01",558,104,"2","2","Bottom",131,NA,493,"Plate_NF","e_sample","D5","Summer","BA","06","2020","2020_06"
494,118,2020611,"149","X2020611_149",15,"GGU","","15.06.2020",2020611,"BA_H",560,10,"9","9","Surface",149,NA,494,"Plate_NF","e_sample","E5","Summer","BA","06","2020","2020_06"
499,123,2020611,"135","X2020611_135",20,"GGU","","15.06.2020",2020611,"BAL01",558,55,"6","6","Pycnocline",135,NA,499,"Plate_NF","e_sample","F5","Summer","BA","06","2020","2020_06"
500,124,2020611,"143","X2020611_143",21,"GGU","","15.06.2020",2020611,"BA_E",559,50,"6","6-B","Pycnocline",143,NA,500,"Plate_NF","e_sample","G5","Summer","BA","06","2020","2020_06"
502,126,2020611,"145","X2020611_145",23,"GGU","","15.06.2020",2020611,"BA_H",560,NA,"Air","Air","BLA",145,NA,502,"Plate_NF","BLA","H5","Summer","BA","06","2020","2020_06"
504,128,2020611,"147","X2020611_147",1,"GGU","","15.06.2020",2020611,"BA_H",560,119,"2","2","Bottom",147,NA,504,"Plate_NF","e_sample","A6","Summer","BA","06","2020","2020_06"
506,130,2020611,"139","X2020611_139",3,"GGU","","15.06.2020",2020611,"BA_E",559,175,"2","2-B","Bottom",139,NA,506,"Plate_NF","e_sample","B6","Summer","BA","06","2020","2020_06"
508,132,2020611,"152","X2020611_152",5,"GGU","","15.06.2020",2020611,"BA_H",560,10,"10","10","Surface",152,NA,508,"Plate_NF","e_sample","C6","Summer","BA","06","2020","2020_06"
510,134,2020611,"134","X2020611_134",7,"GGU","Too hard to flush MBL solution","15.06.2020",2020611,"BAL01",558,104,"3","3","Bottom",134,NA,510,"Plate_NF","e_sample","D6","Summer","BA","06","2020","2020_06"
511,135,2020611,"151","X2020611_151",8,"GGU","","15.06.2020",2020611,"BA_H",560,58,"6","6","Pycnocline",151,NA,511,"Plate_NF","e_sample","E6","Summer","BA","06","2020","2020_06"
514,138,2020611,"LB13042022","X2020611_LB13042022",11,"GGU","","",NA,"",NA,NA,"","","",NA,NA,514,"Plate_NF","LB","F6",NA,NA,"","","_"
516,140,2020611,"148","X2020611_148",13,"GGU","","15.06.2020",2020611,"BA_H",560,58,"5","5","Pycnocline",148,NA,516,"Plate_NF","e_sample","G6","Summer","BA","06","2020","2020_06"
518,142,2020611,"150","X2020611_150",15,"GGU","","15.06.2020",2020611,"BA_H",560,119,"3","3","Bottom",150,NA,518,"Plate_NF","e_sample","H6","Summer","BA","06","2020","2020_06"
521,145,2020611,"133","X2020611_133",18,"GGU","","15.06.2020",2020611,"BAL01",558,10,"9","9","Surface",133,NA,521,"Plate_NF","e_sample","A7","Summer","BA","06","2020","2020_06"
524,3,2021607,"60","X2021607_60",3,"THA","","22.03.2021",2021607,"BA_B",460,10,"9","9-B","Surface",60,NA,524,"Plate_C","e_sample","A2","Spring","BA","03","2021","2021_03"
525,4,2021607,"317","X2021607_317",4,"THA","","27.03.2021",2021607,"OL_C",543,NA,"","Luft","BLA",317,NA,525,"Plate_C","BLA","A3","Spring","OL","03","2021","2021_03"
526,5,2021607,"66","X2021607_66",5,"THA","","22.03.2021",2021607,"BA_B",460,10,"11","11-B","Surface",66,NA,526,"Plate_C","e_sample","A4","Spring","BA","03","2021","2021_03"
527,7,2021607,"39","X2021607_39",7,"THA","","22.03.2021",2021607,"BA_E",458,177,"3","3-B","Bottom",39,NA,527,"Plate_C","e_sample","A6","Spring","BA","03","2021","2021_03"
528,8,2021607,"15","X2021607_15",8,"THA","","22.03.2021",2021607,"BA_K",455,52,"5","5-B","Pycnocline",15,NA,528,"Plate_C","e_sample","A7","Spring","BA","03","2021","2021_03"
529,9,2021607,"313","X2021607_313",9,"THA","","27.03.2021",2021607,"OL_B",542,10,"10","10-B","Surface",313,NA,529,"Plate_C","e_sample","A8","Spring","OL","03","2021","2021_03"
530,10,2021607,"20","X2021607_20",10,"THA","","22.03.2021",2021607,"BA_K",455,83,"4","4-B","Bottom",20,NA,530,"Plate_C","e_sample","A9","Spring","BA","03","2021","2021_03"
531,11,2021607,"41","X2021607_41",11,"THA","","22.03.2021",2021607,"BA_E",458,10,"10","10-B","Surface",41,NA,531,"Plate_C","e_sample","A10","Spring","BA","03","2021","2021_03"
532,13,2021607,"2EB110521","X2021607_2EB110521",13,"THA","","",NA,"",NA,NA,"","","",NA,NA,532,"Plate_NF","EB","B7",NA,NA,"","","_"
533,15,2021607,"324","X2021607_324",15,"THA","","27.03.2021",2021607,"OL_C",543,10,"10","10","Surface",324,NA,533,"Plate_C","e_sample","B1","Spring","OL","03","2021","2021_03"
534,16,2021607,"65","X2021607_65",16,"THA","","22.03.2021",2021607,"BA_B",460,50,"7","7-B","Pycnocline",65,NA,534,"Plate_C","e_sample","B2","Spring","BA","03","2021","2021_03"
535,17,2021607,"95","X2021607_95",17,"THA","","23.03.2021",2021607,"BA_G",464,52,"6","6","Pycnocline",95,NA,535,"Plate_C","e_sample","B3","Spring","BA","03","2021","2021_03"
536,18,2021607,"28","X2021607_28",18,"THA","","22.03.2021",2021607,"BA_F",457,179,"3","3","Bottom",28,NA,536,"Plate_C","e_sample","B4","Spring","BA","03","2021","2021_03"
537,19,2021607,"326","X2021607_326",19,"THA","","27.03.2021",2021607,"OL_C",543,50,"7","7","Pycnocline",326,NA,537,"Plate_C","e_sample","B5","Spring","OL","03","2021","2021_03"
538,20,2021607,"35","X2021607_35",20,"THA","","22.03.2021",2021607,"BA_E",458,NA,"","H2O","BLW",35,NA,538,"Plate_C","BLW","B6","Spring","BA","03","2021","2021_03"
539,21,2021607,"51","X2021607_51",21,"THA","","22.03.2021",2021607,"BA_A",459,50,"6","6","Pycnocline",51,NA,539,"Plate_C","e_sample","B7","Spring","BA","03","2021","2021_03"
540,22,2021607,"25","X2021607_25",22,"THA","","22.03.2021",2021607,"BA_F",457,179,"2","2","Bottom",25,NA,540,"Plate_C","e_sample","B8","Spring","BA","03","2021","2021_03"
542,24,2021607,"64","X2021607_64",24,"THA","","22.03.2021",2021607,"BA_B",460,101,"4","4-B","Bottom",64,NA,542,"Plate_C","e_sample","B9","Spring","BA","03","2021","2021_03"
544,26,2021607,"310","X2021607_310",2,"THA","","27.03.2021",2021607,"OL_B",542,10,"9","9-B","Surface",310,NA,544,"Plate_C","e_sample","B10","Spring","OL","03","2021","2021_03"
545,27,2021607,"85","X2021607_85",3,"THA","","23.03.2021",2021607,"BA_D",463,11,"10","10-B","Surface",85,NA,545,"Plate_C","e_sample","B11","Spring","BA","03","2021","2021_03"
546,28,2021607,"7","X2021607_7",4,"THA","","22.03.2021",2021607,"BA_J",454,52,"6","6","Pycnocline",7,NA,546,"Plate_C","e_sample","B12","Spring","BA","03","2021","2021_03"
547,29,2021607,"63","X2021607_63",5,"THA","","22.03.2021",2021607,"BA_B",460,10,"10","10-B","Surface",63,NA,547,"Plate_C","e_sample","C2","Spring","BA","03","2021","2021_03"
548,30,2021607,"68","X2021607_68",6,"THA","","22.03.2021",2021607,"BA_C",461,NA,"","H2O","BLW",68,NA,548,"Plate_C","BLW","C3","Spring","BA","03","2021","2021_03"
549,31,2021607,"81","X2021607_81",7,"THA","","23.03.2021",2021607,"BA_D",463,52,"5","5-B","Pycnocline",81,NA,549,"Plate_C","e_sample","C4","Spring","BA","03","2021","2021_03"
551,33,2021607,"30","X2021607_30",9,"THA","","22.03.2021",2021607,"BA_F",457,10,"10","10","Surface",30,NA,551,"Plate_C","e_sample","C5","Spring","BA","03","2021","2021_03"
552,34,2021607,"97","X2021607_97",10,"THA","","23.03.2021",2021607,"BA_G",464,159,"4","4","Bottom",97,NA,552,"Plate_C","e_sample","C8","Spring","BA","03","2021","2021_03"
553,35,2021607,"58","X2021607_58",11,"THA","","22.03.2021",2021607,"BA_B",460,101,"2","2-B","Bottom",58,NA,553,"Plate_C","e_sample","C9","Spring","BA","03","2021","2021_03"
554,36,2021607,"2","X2021607_2",12,"THA","","22.03.2021",2021607,"BA_J",454,NA,"","H2O","BLW",2,NA,554,"Plate_C","BLW","C10","Spring","BA","03","2021","2021_03"
555,37,2021607,"1EB140521","X2021607_1EB140521",13,"THA","","",NA,"",NA,NA,"","","",NA,NA,555,"Plate_C","EB","",NA,NA,"","","_"
556,38,2021607,"89","X2021607_89",14,"THA","","23.03.2021",2021607,"BA_G",464,NA,"","Luft","BLA",89,NA,556,"Plate_C","BLA","C12","Spring","BA","03","2021","2021_03"
557,39,2021607,"50","X2021607_50",15,"THA","","22.03.2021",2021607,"BA_A",459,98,"3","3","Bottom",50,NA,557,"Plate_C","e_sample","D2","Spring","BA","03","2021","2021_03"
558,41,2021607,"304","X2021607_304",17,"THA","","27.03.2021",2021607,"OL_A",541,50,"7","7","Pycnocline",304,NA,558,"Plate_C","e_sample","D4","Spring","OL","03","2021","2021_03"
559,42,2021607,"87","X2021607_87",18,"THA","","23.03.2021",2021607,"BA_D",463,52,"7","7-B","Pycnocline",87,NA,559,"Plate_C","e_sample","D5","Spring","BA","03","2021","2021_03"
560,43,2021607,"61","X2021607_61",19,"THA","","22.03.2021",2021607,"BA_B",460,101,"3","3-B","Bottom",61,NA,560,"Plate_C","e_sample","D6","Spring","BA","03","2021","2021_03"
561,44,2021607,"29","X2021607_29",20,"THA","","22.03.2021",2021607,"BA_F",457,50,"6","6","Pycnocline",29,NA,561,"Plate_C","e_sample","D7","Spring","BA","03","2021","2021_03"
562,45,2021607,"327","X2021607_327",21,"THA","","27.03.2021",2021607,"OL_C",543,10,"11","11","Surface",327,NA,562,"Plate_C","e_sample","D8","Spring","OL","03","2021","2021_03"
563,46,2021607,"320","X2021607_320",22,"THA","","27.03.2021",2021607,"OL_C",543,50,"5","5","Pycnocline",320,NA,563,"Plate_C","e_sample","D9","Spring","OL","03","2021","2021_03"
564,47,2021607,"319","X2021607_319",23,"THA","","27.03.2021",2021607,"OL_C",543,86,"2","2","Bottom",319,NA,564,"Plate_C","e_sample","D10","Spring","OL","03","2021","2021_03"
565,48,2021607,"10","X2021607_10",24,"THA","","22.03.2021",2021607,"BA_J",454,52,"7","7","Pycnocline",10,NA,565,"Plate_C","e_sample","D11","Spring","BA","03","2021","2021_03"
566,49,2021607,"9","X2021607_9",1,"GGU","","22.03.2021",2021607,"BA_J",454,84,"4","4","Bottom",9,NA,566,"Plate_C","e_sample","D12","Spring","BA","03","2021","2021_03"
567,50,2021607,"99","X2021607_99",2,"GGU","","23.03.2021",2021607,"BA_G",464,11,"11","11","Surface",99,NA,567,"Plate_C","e_sample","E1","Spring","BA","03","2021","2021_03"
568,51,2021607,"322","X2021607_322",3,"GGU","","27.03.2021",2021607,"OL_C",543,86,"3","3","Bottom",322,NA,568,"Plate_C","e_sample","E2","Spring","OL","03","2021","2021_03"
569,52,2021607,"13","X2021607_13",4,"GGU","","22.03.2021",2021607,"BA_K",455,NA,"","H2O","BLW",13,NA,569,"Plate_C","BLW","E3","Spring","BA","03","2021","2021_03"
570,53,2021607,"94","X2021607_94",5,"GGU","","23.03.2021",2021607,"BA_G",464,159,"3","3","Bottom",94,NA,570,"Plate_C","e_sample","E4","Spring","BA","03","2021","2021_03"
571,54,2021607,"1","X2021607_1",6,"GGU","","22.03.2021",2021607,"BA_J",454,NA,"","Luft","BLA",1,NA,571,"Plate_C","BLA","E5","Spring","BA","03","2021","2021_03"
572,55,2021607,"325","X2021607_325",7,"GGU","","27.03.2021",2021607,"OL_C",543,86,"4","4","Bottom",325,NA,572,"Plate_C","e_sample","E6","Spring","OL","03","2021","2021_03"
573,56,2021607,"4","X2021607_4",8,"GGU","","22.03.2021",2021607,"BA_J",454,52,"5","5","Pycnocline",4,NA,573,"Plate_C","e_sample","E7","Spring","BA","03","2021","2021_03"
574,57,2021607,"3","X2021607_3",9,"GGU","","22.03.2021",2021607,"BA_J",454,84,"2","2","Bottom",3,NA,574,"Plate_C","e_sample","E8","Spring","BA","03","2021","2021_03"
575,58,2021607,"90","X2021607_90",10,"GGU","","23.03.2021",2021607,"BA_G",464,NA,"","H2O","BLW",90,NA,575,"Plate_C","BLW","E9","Spring","BA","03","2021","2021_03"
578,61,2021607,"1EB190521","X2021607_1EB190521-1",13,"THA","","",NA,"",NA,NA,"","","",NA,NA,578,"Plate_C","EB","C7 | E10",NA,NA,"","","_"
579,62,2021607,"323","X2021607_323",14,"THA","","27.03.2021",2021607,"OL_C",543,50,"6","6","Pycnocline",323,NA,579,"Plate_C","e_sample","E11","Spring","OL","03","2021","2021_03"
580,63,2021607,"67","X2021607_67",15,"THA","","22.03.2021",2021607,"BA_C",461,NA,"","Luft","BLA",67,NA,580,"Plate_C","BLA","E12","Spring","BA","03","2021","2021_03"
581,64,2021607,"16","X2021607_16",16,"THA","","22.03.2021",2021607,"BA_K",455,11,"9","9-B","Surface",16,NA,581,"Plate_C","e_sample","F1","Spring","BA","03","2021","2021_03"
582,65,2021607,"262","X2021607_262",17,"THA","","27.03.2021",2021607,"FR_C",535,NA,"","Luft","BLA",262,NA,582,"Plate_C","BLA","F2","Spring","FR","03","2021","2021_03"
583,66,2021607,"27","X2021607_27",18,"THA","","22.03.2021",2021607,"BA_F",457,10,"9","9","Surface",27,NA,583,"Plate_C","e_sample","F3","Spring","BA","03","2021","2021_03"
584,68,2021607,"91","X2021607_91",20,"THA","","23.03.2021",2021607,"BA_G",464,159,"2","2","Bottom",91,NA,584,"Plate_C","e_sample","F5","Spring","BA","03","2021","2021_03"
585,69,2021607,"18","X2021607_18",21,"THA","","22.03.2021",2021607,"BA_K",455,52,"6","6-B","Pycnocline",18,NA,585,"Plate_C","e_sample","F6","Spring","BA","03","2021","2021_03"
586,70,2021607,"96","X2021607_96",22,"THA","","23.03.2021",2021607,"BA_G",464,11,"10","10","Surface",96,NA,586,"Plate_C","e_sample","F7","Spring","BA","03","2021","2021_03"
587,71,2021607,"17","X2021607_17",23,"THA","","22.03.2021",2021607,"BA_K",455,83,"3","3-B","Bottom",17,NA,587,"Plate_C","e_sample","F8","Spring","BA","03","2021","2021_03"
588,72,2021607,"19","X2021607_19",24,"THA","","22.03.2021",2021607,"BA_K",455,11,"10","10-B","Surface",19,NA,588,"Plate_C","e_sample","F9","Spring","BA","03","2021","2021_03"
589,73,2021607,"84","X2021607_84",1,"GGU","","23.03.2021",2021607,"BA_D",463,52,"6","6-B","Pycnocline",84,NA,589,"Plate_C","e_sample","F10","Spring","BA","03","2021","2021_03"
591,76,2021607,"54","X2021607_54",4,"GGU","","22.03.2021",2021607,"BA_A",459,50,"7","7","Pycnocline",54,NA,591,"Plate_C","e_sample","F12","Spring","BA","03","2021","2021_03"
592,77,2021607,"8","X2021607_8",5,"GGU","","22.03.2021",2021607,"BA_J",454,11,"10","10","Surface",8,NA,592,"Plate_C","e_sample","G1","Spring","BA","03","2021","2021_03"
593,78,2021607,"21","X2021607_21",6,"GGU","","22.03.2021",2021607,"BA_K",455,52,"7","7-B","Pycnocline",21,NA,593,"Plate_C","e_sample","G2","Spring","BA","03","2021","2021_03"
594,79,2021607,"80","X2021607_80",7,"GGU","","23.03.2021",2021607,"BA_D",463,150,"2","2-B","Bottom",80,NA,594,"Plate_C","e_sample","G3","Spring","BA","03","2021","2021_03"
595,80,2021607,"38","X2021607_38",8,"GGU","","22.03.2021",2021607,"BA_E",458,10,"9","9-B","Surface",38,NA,595,"Plate_C","e_sample","G4","Spring","BA","03","2021","2021_03"
596,81,2021607,"31","X2021607_31",9,"GGU","","22.03.2021",2021607,"BA_F",457,179,"4","4","Bottom",31,NA,596,"Plate_C","e_sample","G5","Spring","BA","03","2021","2021_03"
597,82,2021607,"24","X2021607_24",10,"GGU","","22.03.2021",2021607,"BA_F",457,NA,"","H2O","BLW",24,NA,597,"Plate_C","BLW","G6","Spring","BA","03","2021","2021_03"
598,83,2021607,"33","X2021607_33",11,"GGU","","22.03.2021",2021607,"BA_F",457,10,"11","11","Surface",33,NA,598,"Plate_C","e_sample","G7","Spring","BA","03","2021","2021_03"
600,86,2021607,"79","X2021607_79",14,"THA","","23.03.2021",2021607,"BA_D",463,NA,"","H2O","BLW",79,NA,600,"Plate_C","BLW","G8","Spring","BA","03","2021","2021_03"
601,87,2021607,"98","X2021607_98",15,"THA","","23.03.2021",2021607,"BA_G",464,52,"7","7","Pycnocline",98,NA,601,"Plate_C","e_sample","G9","Spring","BA","03","2021","2021_03"
602,88,2021607,"5","X2021607_5",16,"THA","","22.03.2021",2021607,"BA_J",454,11,"9","9","Surface",5,NA,602,"Plate_C","e_sample","G10","Spring","BA","03","2021","2021_03"
603,89,2021607,"321","X2021607_321",17,"THA","","27.03.2021",2021607,"OL_C",543,10,"9","9","Surface",321,NA,603,"Plate_C","e_sample","G11","Spring","OL","03","2021","2021_03"
604,90,2021607,"308","X2021607_308",18,"THA","","27.03.2021",2021607,"OL_B",542,82,"2","2-B","Bottom",308,NA,604,"Plate_C","e_sample","G12","Spring","OL","03","2021","2021_03"
605,91,2021607,"62","X2021607_62",19,"THA","","22.03.2021",2021607,"BA_B",460,50,"6","6-B","Pycnocline",62,NA,605,"Plate_C","e_sample","H1","Spring","BA","03","2021","2021_03"
607,96,2021607,"47","X2021607_47",24,"THA","","22.03.2021",2021607,"BA_A",459,98,"2","2","Bottom",47,NA,607,"Plate_C","e_sample","H5","Spring","BA","03","2021","2021_03"
608,97,2021607,"1LB210521","X2021607_1LB210521",1,"THA","","",NA,"",NA,NA,"","","",NA,NA,608,"Plate_NF","LB","D7",NA,NA,"","","_"
610,99,2021607,"88","X2021607_88",3,"THA","","23.03.2021",2021607,"BA_D",463,11,"11","11-B","Surface",88,NA,610,"Plate_C","e_sample","H6","Spring","BA","03","2021","2021_03"
611,100,2021607,"56","X2021607_56",4,"THA","","22.03.2021",2021607,"BA_B",460,NA,"","Luft","BLA",56,NA,611,"Plate_C","BLA","H7","Spring","BA","03","2021","2021_03"
612,101,2021607,"32","X2021607_32",5,"THA","","22.03.2021",2021607,"BA_F",457,50,"7","7","Pycnocline",32,NA,612,"Plate_C","e_sample","H8","Spring","BA","03","2021","2021_03"
614,103,2021607,"23","X2021607_23",7,"THA","","22.03.2021",2021607,"BA_F",457,NA,"","Luft","BLA",23,NA,614,"Plate_C","BLA","H9","Spring","BA","03","2021","2021_03"
615,104,2021607,"101","X2021607_101",8,"THA","","23.03.2021",2021607,"BA_H",465,NA,"","H2O","BLW",101,NA,615,"Plate_C","BLW","H10","Spring","BA","03","2021","2021_03"
616,105,2021607,"316","X2021607_316",9,"THA","","27.03.2021",2021607,"OL_B",542,10,"11","11-B","Surface",316,NA,616,"Plate_C","e_sample","H11","Spring","OL","03","2021","2021_03"
617,107,2021607,"53","X2021607_53",11,"THA","","22.03.2021",2021607,"BA_A",459,98,"4","4","Bottom",53,NA,617,"Plate_D","e_sample","A1","Spring","BA","03","2021","2021_03"
618,108,2021607,"306","X2021607_306",12,"THA","","27.03.2021",2021607,"OL_B",542,NA,"","Luft","BLA",306,NA,618,"Plate_D","BLA","A2","Spring","OL","03","2021","2021_03"
619,109,2021607,"36","X2021607_36",13,"GGU","","22.03.2021",2021607,"BA_E",458,177,"2","2-B","Bottom",36,NA,619,"Plate_D","e_sample","A3","Spring","BA","03","2021","2021_03"
620,110,2021607,"100","X2021607_100",14,"GGU","","23.03.2021",2021607,"BA_H",465,NA,"","Luft","BLA",100,NA,620,"Plate_D","BLA","A4","Spring","BA","03","2021","2021_03"
