"X","Running_no","Cruise_no","Filter_no","Filter_name","Vac_valve","Operator","Comments","Date","Cruise","Station_name","CTD_station","Depth","Niskin","Bottle","Sample_type","Filter","Chip_number","x","Plate","sample_type","well","Season","Location","Month","Year","Date_2"
31,63,2022607,"255","X2022607_255",15,"GGU","","22.03.2022",2022607,"FR_B",496,10.4,"11","Rød","Surface",255,1,31,"Plate_NA","e_sample","C5","Spring","FR","03","2022","2022_03"
32,66,2022607,"274","X2022607_274",18,"GGU","","22.03.2022",2022607,"FR_D",498,9.7,"10","Rød","Surface",274,1,32,"Plate_NA","e_sample","D5","Spring","FR","03","2022","2022_03"
33,67,2022607,"262","X2022607_262",19,"GGU","","22.03.2022",2022607,"FR_C",497,50.8,"6","Blå","Pycnocline",262,1,33,"Plate_NA","e_sample","E5","Spring","FR","03","2022","2022_03"
34,69,2022607,"243","X2022607_243",21,"GGU","","22.03.2022",2022607,"FR_A",495,49.8,"7","Blå","Pycnocline",243,1,34,"Plate_NA","e_sample","F5","Spring","FR","03","2022","2022_03"
35,71,2022607,"265","X2022607_265",23,"GGU","","22.03.2022",2022607,"FR_C",497,50.8,"7","Blå","Pycnocline",265,1,35,"Plate_NA","e_sample","G5","Spring","FR","03","2022","2022_03"
36,73,2022607,"242","X2022607_242",1,"GGU","","22.03.2022",2022607,"FR_A",495,87.4,"4","Hvit","Bottom",242,1,36,"Plate_NA","e_sample","H5","Spring","FR","03","2022","2022_03"
37,77,2022607,"248","X2022607_248",5,"GGU","","22.03.2022",2022607,"FR_B",496,50,"5","Blå","Pycnocline",248,1,37,"Plate_NA","e_sample","A6","Spring","FR","03","2022","2022_03"
38,79,2022607,"237","X2022607_237",7,"GGU","","22.03.2022",2022607,"FR_A",495,49.8,"5","Blå","Pycnocline",237,1,38,"Plate_NA","e_sample","B6","Spring","FR","03","2022","2022_03"
39,80,2022607,"253","X2022607_253",8,"GGU","","22.03.2022",2022607,"FR_B",496,63.7,"4","Hvit","Bottom",253,1,39,"Plate_NA","e_sample","G6","Spring","FR","03","2022","2022_03"
40,83,2022607,"276","X2022607_276",11,"GGU","","22.03.2022",2022607,"FR_D",498,24.1,"7","Blå","Pycnocline",276,1,40,"Plate_NA","e_sample","D6","Spring","FR","03","2022","2022_03"
41,85,2022607,"271","X2022607_271",13,"GGU","","22.03.2022",2022607,"FR_D",498,9.7,"9","Rød","Surface",271,1,41,"Plate_NA","e_sample","E6","Spring","FR","03","2022","2022_03"
42,88,2022607,"273","X2022607_273",16,"GGU","","22.03.2022",2022607,"FR_D",498,24.1,"6","Blå","Pycnocline",273,1,42,"Plate_NA","e_sample","F6","Spring","FR","03","2022","2022_03"
43,90,2022607,"EB08062022","X2022607_EB08062022",18,"GGU","","",NA,"",NA,NA,"","","",NA,1,43,"Plate_NA","EB","C6",NA,NA,"","","_"
44,2,2021607,"1EB110521","X2021607_1EB110521-1",2,"THA","","",NA,"",NA,NA,"","","",NA,1,44,"Plate_C","EB","C7 | A1",NA,NA,"","","_"
45,6,2021607,"278","X2021607_278-1",6,"THA","","27.03.2021",2021607,"FR_B",536,60,"3","3","Bottom",278,1,45,"Plate_C","e_sample","H6 | A5","Spring","FR","03","2021","2021_03"
46,12,2021607,"286","X2021607_286-1",12,"THA","","27.03.2021",2021607,"FR_A",537,74,"2","2-B","Bottom",286,1,46,"Plate_C","e_sample","A7 | A11","Spring","FR","03","2021","2021_03"
47,14,2021607,"294","X2021607_294-1",14,"THA","","27.03.2021",2021607,"FR_A",537,12,"11","11-B","Surface",294,1,47,"Plate_C","e_sample","B7 | A12","Spring","FR","03","2021","2021_03"
48,40,2021607,"287","X2021607_287-1",16,"THA","","27.03.2021",2021607,"FR_A",537,51,"5","5-B","Pycnocline",287,1,48,"Plate_C","e_sample","D7 | D3","Spring","FR","03","2021","2021_03"
49,67,2021607,"257","X2021607_257-1",19,"THA","","27.03.2021",2021607,"FR_D",534,10,"9","9","Surface",257,1,49,"Plate_C","e_sample","E7 | F4","Spring","FR","03","2021","2021_03"
50,74,2021607,"292","X2021607_292-1",2,"GGU","","27.03.2021",2021607,"FR_A",537,74,"4","4-B","Bottom",292,1,50,"Plate_C","e_sample","F7 | F11","Spring","FR","03","2021","2021_03"
52,92,2021607,"290","X2021607_290-1",20,"THA","","27.03.2021",2021607,"FR_A",537,51,"6","6-B","Pycnocline",290,1,52,"Plate_C","e_sample","G7 | H2","Spring","FR","03","2021","2021_03"
53,93,2021607,"276","X2021607_276-1",21,"THA","","27.03.2021",2021607,"FR_B",536,50,"5","5","Pycnocline",276,1,53,"Plate_C","e_sample","H7 | H3","Spring","FR","03","2021","2021_03"
54,94,2021607,"289","X2021607_289-1",22,"THA","","27.03.2021",2021607,"FR_A",537,74,"3","3-B","Bottom",289,1,54,"Plate_C","e_sample","A8 | H4","Spring","FR","03","2021","2021_03"
55,106,2021607,"288","X2021607_288-1",10,"THA","","27.03.2021",2021607,"FR_A",537,12,"9","9-B","Surface",288,1,55,"Plate_C","e_sample","B8 | H12","Spring","FR","03","2021","2021_03"
56,112,2021607,"267","X2021607_267-1",16,"GGU","","27.03.2021",2021607,"FR_C",535,73,"3","3-B","Bottom",267,1,56,"Plate_D","e_sample","C8 | A6","Spring","FR","03","2021","2021_03"
57,114,2021607,"293","X2021607_293-1",18,"GGU","","27.03.2021",2021607,"FR_A",537,51,"7","7-B","Pycnocline",293,1,57,"Plate_D","e_sample","D8 | A8","Spring","FR","03","2021","2021_03"
58,120,2021607,"2EB210521","X2021607_2EB210521",24,"GGU","","",NA,"",NA,NA,"","","",NA,1,58,"Plate_NA","EB","E8",NA,NA,"","","_"
59,121,2021607,"1LB250521","X2021607_1LB250521",1,"THA","","",NA,"",NA,NA,"","","",NA,1,59,"Plate_NA","LB","F8",NA,NA,"","","_"
60,122,2021607,"1EB250521","X2021607_1EB250521",2,"THA","","",NA,"",NA,NA,"","","",NA,1,60,"Plate_D","EB","B2",NA,NA,"","","_"
61,124,2021607,"270","X2021607_270-1",4,"THA","","27.03.2021",2021607,"FR_C",535,73,"4","4-B","Bottom",270,1,61,"Plate_D","e_sample","G8 | B4","Spring","FR","03","2021","2021_03"
62,125,2021607,"258","X2021607_258-1",5,"THA","","27.03.2021",2021607,"FR_D",534,47,"3","3","Pycnocline",258,1,62,"Plate_D","e_sample","H8 | B5","Spring","FR","03","2021","2021_03"
63,128,2021607,"275","X2021607_275-1",8,"THA","","27.03.2021",2021607,"FR_B",536,60,"2","2","Bottom",275,1,63,"Plate_D","e_sample","A9 | B8","Spring","FR","03","2021","2021_03"
64,131,2021607,"271","X2021607_271-1",11,"THA","","27.03.2021",2021607,"FR_C",535,50,"7","7-B","Pycnocline",271,1,64,"Plate_D","e_sample","B9 | B11","Spring","FR","03","2021","2021_03"
65,136,2021607,"272","X2021607_272-1",16,"GGU","","27.03.2021",2021607,"FR_C",535,10,"11","11-B","Surface",272,1,65,"Plate_D","e_sample","C9 | C5","Spring","FR","03","2021","2021_03"
66,139,2021607,"254","X2021607_254-1",19,"GGU","","27.03.2021",2021607,"FR_D",534,NA,"","Luft","BLA",254,1,66,"Plate_D","BLA","D9 | C10","Spring","FR","03","2021","2021_03"
67,145,2021607,"1EB260521","X2021607_1EB260521",1,"THA","STIB found in kit box. Should have been stored in the fridge.","",NA,"",NA,NA,"","","",NA,1,67,"Plate_NA","EB","E9",NA,NA,"","","_"
68,146,2021607,"285","X2021607_285-1",2,"THA","","27.03.2021",2021607,"FR_A",537,NA,"","H2O","BLW",285,1,68,"Plate_D","BLW","F9 | D4","Spring","FR","03","2021","2021_03"
69,147,2021607,"260","X2021607_260-1",3,"THA","","27.03.2021",2021607,"FR_D",534,47,"4","4","Pycnocline",260,1,69,"Plate_D","e_sample","G9 | D5","Spring","FR","03","2021","2021_03"
70,149,2021607,"277","X2021607_277-1",5,"THA","","27.03.2021",2021607,"FR_B",536,10,"9","9","Surface",277,1,70,"Plate_D","e_sample","H9 | D7","Spring","FR","03","2021","2021_03"
71,155,2021607,"264","X2021607_264-1",11,"THA","","27.03.2021",2021607,"FR_C",535,73,"2","2-B","Bottom",264,1,71,"Plate_D","e_sample","A10 | D12","Spring","FR","03","2021","2021_03"
72,159,2021607,"282","X2021607_282-1",15,"GGU","Less pellets than usual in 2.2 ml collection tube after centrifuging","27.03.2021",2021607,"FR_B",536,50,"7","7","Pycnocline",282,1,72,"Plate_D","e_sample","B10 | E4","Spring","FR","03","2021","2021_03"
73,163,2021607,"274","X2021607_274-1",19,"GGU","Less pellets than usual in 2.2 ml collection tube after centrifuging","27.03.2021",2021607,"FR_B",536,NA,"","H2O","BLW",274,1,73,"Plate_D","BLW","C10 | E8","Spring","FR","03","2021","2021_03"
74,164,2021607,"261","X2021607_261-1",20,"GGU","Less pellets than usual in 2.2 ml collection tube after centrifuging","27.03.2021",2021607,"FR_D",534,10,"11","11","Surface",261,1,74,"Plate_D","e_sample","D10 | E9","Spring","FR","03","2021","2021_03"
75,165,2021607,"279","X2021607_279-1",21,"GGU","Less pellets than usual in 2.2 ml collection tube after centrifuging","27.03.2021",2021607,"FR_B",536,50,"6","6","Pycnocline",279,1,75,"Plate_D","e_sample","E10 | E10","Spring","FR","03","2021","2021_03"
76,172,2021607,"281","X2021607_281-1",4,"GGU","A lot of small bubbles after the last vortex (like a foam)","27.03.2021",2021607,"FR_B",536,60,"4","4","Bottom",281,1,76,"Plate_D","e_sample","F10 | F5","Spring","FR","03","2021","2021_03"
77,181,2021607,"1EB280521","X2021607_1EB280521-1",13,"THA","","",NA,"",NA,NA,"","","",NA,1,77,"Plate_D","EB","G10 | F12",NA,NA,"","","_"
78,183,2021607,"280","X2021607_280-1",15,"THA","","27.03.2021",2021607,"FR_B",536,10,"10","10","Surface",280,1,78,"Plate_D","e_sample","H10 | G2","Spring","FR","03","2021","2021_03"
79,185,2021607,"269","X2021607_269-1",17,"THA","","27.03.2021",2021607,"FR_C",535,10,"10","10-B","Surface",269,1,79,"Plate_D","e_sample","A11 | G4","Spring","FR","03","2021","2021_03"
80,186,2021607,"268","X2021607_268-1",18,"THA","","27.03.2021",2021607,"FR_C",535,50,"6","6-B","Pycnocline",268,1,80,"Plate_D","e_sample","B11 | G5","Spring","FR","03","2021","2021_03"
81,191,2021607,"266","X2021607_266-1",23,"THA","1/2 lysate","27.03.2021",2021607,"FR_C",535,10,"9","9-B","Surface",266,1,81,"Plate_D","e_sample","C11 | G10","Spring","FR","03","2021","2021_03"
82,192,2021607,"265","X2021607_265-1",24,"THA","","27.03.2021",2021607,"FR_C",535,50,"5","5-B","Pycnocline",265,1,82,"Plate_D","e_sample","D11 | G11","Spring","FR","03","2021","2021_03"
83,199,2021607,"259","X2021607_259-1",7,"GGU","","27.03.2021",2021607,"FR_D",534,10,"10","10","Surface",259,1,83,"Plate_D","e_sample","E11 | H6","Spring","FR","03","2021","2021_03"
84,202,2021607,"283","X2021607_283-1",10,"GGU","","27.03.2021",2021607,"FR_B",536,10,"11","11","Surface",283,1,84,"Plate_D","e_sample","F11 | H9","Spring","FR","03","2021","2021_03"
85,205,2021607,"256","X2021607_256-1",13,"GGU","","27.03.2021",2021607,"FR_D",534,47,"2","2","Pycnocline",256,1,85,"Plate_D","e_sample","G11 | H11","Spring","FR","03","2021","2021_03"
86,206,2021607,"291","X2021607_291-1",14,"GGU","","27.03.2021",2021607,"FR_A",537,12,"10","10-B","Surface",291,1,86,"Plate_D","e_sample","H11 | H12","Spring","FR","03","2021","2021_03"
87,1,2021624,"10","X2021624_10",1,"GGU","0","13.10.2021",2021624,"BAL_04",1059,56,"7","7","Pycnocline",10,1,87,"Plate_NA","e_sample","A12","Autumn","BA","10","2021","2021_10"
88,2,2021624,"8","X2021624_8",2,"GGU","0","13.10.2021",2021624,"BAL_04",1059,10,"10","10","Surface",8,1,88,"Plate_NA","e_sample","B12","Autumn","BA","10","2021","2021_10"
89,3,2021624,"42","X2021624_42",3,"GGU","0","13.10.2021",2021624,"BAL_01",1062,102,"4","4B","Bottom",42,1,89,"Plate_NA","e_sample","C12","Autumn","BA","10","2021","2021_10"
90,4,2021624,"30","X2021624_30",4,"GGU","0","13.10.2021",2021624,"BAL_02",1061,10,"10","10","Surface",30,1,90,"Plate_NA","e_sample","D12","Autumn","BA","10","2021","2021_10"
91,5,2021624,"14","X2021624_14",5,"GGU","0","13.10.2021",2021624,"BAL_03",1060,163,"2","2B","Bottom",14,1,91,"Plate_NA","e_sample","E12","Autumn","BA","10","2021","2021_10"
92,6,2021624,"32","X2021624_32",6,"GGU","0","13.10.2021",2021624,"BAL_02",1061,49,"7","7","Pycnocline",32,1,92,"Plate_NA","e_sample","F12","Autumn","BA","10","2021","2021_10"
93,7,2021624,"13","X2021624_13",7,"GGU","0","13.10.2021",2021624,"BAL_03",1060,NA,"","Milli-q","BLW",13,1,93,"Plate_NA","BLW","G12","Autumn","BA","10","2021","2021_10"
94,8,2021624,"43","X2021624_43",8,"GGU","0","13.10.2021",2021624,"BAL_01",1062,46,"6","6B","Pycnocline",43,1,94,"Plate_NA","e_sample","H12","Autumn","BA","10","2021","2021_10"
95,9,2021624,"18","X2021624_18",9,"GGU","0","13.10.2021",2021624,"BAL_03",1060,57,"6","6B","Pycnocline",18,1,95,"Plate_NB","e_sample","B3","Autumn","BA","10","2021","2021_10"
96,10,2021624,"40","X2021624_40",10,"GGU","0","13.10.2021",2021624,"BAL_01",1062,46,"7","7B","Pycnocline",40,1,96,"Plate_NB","e_sample","C3","Autumn","BA","10","2021","2021_10"
97,11,2021624,"25","X2021624_25",11,"GGU","0","13.10.2021",2021624,"BAL_02",1061,124,"2","2","Bottom",25,1,97,"Plate_NB","e_sample","D3","Autumn","BA","10","2021","2021_10"
98,12,2021624,"EB03052022","X2021624_EB03052022",12,"GGU","0","",NA,"",NA,NA,"","","",NA,1,98,"Plate_NB","EB","E3",NA,NA,"","","_"
99,13,2021624,"22","X2021624_22",13,"GGU","0","13.10.2021",2021624,"BAL_03",1060,10,"11","11B","Surface",22,1,99,"Plate_NB","e_sample","F3","Autumn","BA","10","2021","2021_10"
100,14,2021624,"15","X2021624_15",14,"GGU","0","13.10.2021",2021624,"BAL_03",1060,57,"5","5B","Pycnocline",15,1,100,"Plate_NB","e_sample","G3","Autumn","BA","10","2021","2021_10"
101,15,2021624,"44","X2021624_44",15,"GGU","Hard to flush MBL in the filter","13.10.2021",2021624,"BAL_01",1062,10,"11","11B","Surface",44,1,101,"Plate_NB","e_sample","H3","Autumn","BA","10","2021","2021_10"
102,17,2021624,"5","X2021624_5",17,"GGU","0","13.10.2021",2021624,"BAL_04",1059,10,"9","9","Surface",5,1,102,"Plate_NB","e_sample","A4","Autumn","BA","10","2021","2021_10"
103,18,2021624,"16","X2021624_16",18,"GGU","0","13.10.2021",2021624,"BAL_03",1060,10,"9","9B","Surface",16,1,103,"Plate_NB","e_sample","B4","Autumn","BA","10","2021","2021_10"
104,19,2021624,"27","X2021624_27",19,"GGU","0","13.10.2021",2021624,"BAL_02",1061,10,"9","9","Surface",27,1,104,"Plate_NB","e_sample","C4","Autumn","BA","10","2021","2021_10"
105,20,2021624,"4","X2021624_4",20,"GGU","0","13.10.2021",2021624,"BAL_04",1059,56,"5","5","Pycnocline",4,1,105,"Plate_NB","e_sample","D4","Autumn","BA","10","2021","2021_10"
106,21,2021624,"11","X2021624_11",21,"GGU","0","13.10.2021",2021624,"BAL_04",1059,10,"11","11","Surface",11,1,106,"Plate_NB","e_sample","E4","Autumn","BA","10","2021","2021_10"
107,22,2021624,"26","X2021624_26",22,"GGU","0","13.10.2021",2021624,"BAL_02",1061,49,"5","5","Pycnocline",26,1,107,"Plate_NB","e_sample","F4","Autumn","BA","10","2021","2021_10"
108,23,2021624,"41","X2021624_41",23,"GGU","Hard to flush MBL in the filter","13.10.2021",2021624,"BAL_01",1062,10,"10","10B","Surface",41,1,108,"Plate_NB","e_sample","G4","Autumn","BA","10","2021","2021_10"
109,25,2021624,"29","X2021624_29",1,"GGU","0","13.10.2021",2021624,"BAL_02",1061,49,"6","6","Pycnocline",29,1,109,"Plate_NB","e_sample","H4","Autumn","BA","10","2021","2021_10"
110,26,2021624,"2","X2021624_2",2,"GGU","0","13.10.2021",2021624,"BAL_04",1059,NA,"","Milli-q","BLW",2,1,110,"Plate_NB","BLW","A5","Autumn","BA","10","2021","2021_10"
111,27,2021624,"6","X2021624_6",3,"GGU","0","13.10.2021",2021624,"BAL_04",1059,118,"3","3","Bottom",6,1,111,"Plate_NB","e_sample","B5","Autumn","BA","10","2021","2021_10"
112,28,2021624,"33","X2021624_33",4,"GGU","0","13.10.2021",2021624,"BAL_02",1061,10,"11","11","Surface",33,1,112,"Plate_NB","e_sample","C5","Autumn","BA","10","2021","2021_10"
113,29,2021624,"17","X2021624_17",5,"GGU","0","13.10.2021",2021624,"BAL_03",1060,163,"3","3B","Bottom",17,1,113,"Plate_NB","e_sample","D5","Autumn","BA","10","2021","2021_10"
114,31,2021624,"28","X2021624_28",7,"GGU","0","13.10.2021",2021624,"BAL_02",1061,124,"3","3","Bottom",28,1,114,"Plate_NB","e_sample","E5","Autumn","BA","10","2021","2021_10"
115,32,2021624,"38","X2021624_38",8,"GGU","0","13.10.2021",2021624,"BAL_01",1062,10,"9","9B","Surface",38,1,115,"Plate_NB","e_sample","F5","Autumn","BA","10","2021","2021_10"
116,33,2021624,"3","X2021624_3",9,"GGU","0","13.10.2021",2021624,"BAL_04",1059,118,"2","2","Bottom",3,1,116,"Plate_NB","e_sample","G5","Autumn","BA","10","2021","2021_10"
117,34,2021624,"20","X2021624_20",10,"GGU","0","13.10.2021",2021624,"BAL_03",1060,163,"4","4B","Bottom",20,1,117,"Plate_NB","e_sample","H5","Autumn","BA","10","2021","2021_10"
118,35,2021624,"LB05052022","X2021624_LB05052022",11,"GGU","0","",NA,"",NA,NA,"","","",NA,1,118,"Plate_NB","LB","A6",NA,NA,"","","_"
119,36,2021624,"EB05052022","X2021624_EB05052022",12,"GGU","0","",NA,"",NA,NA,"","","",NA,1,119,"Plate_NB","EB","B6",NA,NA,"","","_"
120,37,2021624,"19","X2021624_19",13,"GGU","0","13.10.2021",2021624,"BAL_03",1060,10,"10","10B","Surface",19,1,120,"Plate_NB","e_sample","D6","Autumn","BA","10","2021","2021_10"
121,38,2021624,"36","X2021624_36",14,"GGU","0","13.10.2021",2021624,"BAL_01",1062,102,"2","2B","Bottom",36,1,121,"Plate_NB","e_sample","E6","Autumn","BA","10","2021","2021_10"
122,39,2021624,"21","X2021624_21",15,"GGU","0","13.10.2021",2021624,"BAL_03",1060,57,"7","7B","Pycnocline",21,1,122,"Plate_NB","e_sample","F6","Autumn","BA","10","2021","2021_10"
123,40,2021624,"31","X2021624_31",16,"GGU","0","13.10.2021",2021624,"BAL_02",1061,124,"4","4","Bottom",31,1,123,"Plate_NB","e_sample","G6","Autumn","BA","10","2021","2021_10"
124,41,2021624,"24","X2021624_24",17,"GGU","0","13.10.2021",2021624,"BAL_02",1061,NA,"","Milli-q","BLW",24,1,124,"Plate_NB","BLW","H6","Autumn","BA","10","2021","2021_10"
125,42,2021624,"9","X2021624_9",18,"GGU","0","13.10.2021",2021624,"BAL_04",1059,118,"4","4","Bottom",9,1,125,"Plate_NB","e_sample","A7","Autumn","BA","10","2021","2021_10"
126,43,2021624,"39","X2021624_39",19,"GGU","0","13.10.2021",2021624,"BAL_01",1062,102,"3","3B","Bottom",39,1,126,"Plate_NB","e_sample","B7","Autumn","BA","10","2021","2021_10"
127,44,2021624,"34","X2021624_34",20,"GGU","0","13.10.2021",2021624,"BAL_01",1062,NA,"","","BLA",34,1,127,"Plate_NB","BLA","D7","Autumn","BA","10","2021","2021_10"
128,45,2021624,"7","X2021624_7",21,"GGU","0","13.10.2021",2021624,"BAL_04",1059,56,"6","6","Pycnocline",7,1,128,"Plate_NB","e_sample","E7","Autumn","BA","10","2021","2021_10"
129,46,2021624,"37","X2021624_37",22,"GGU","0","13.10.2021",2021624,"BAL_01",1062,46,"5","5B","Pycnocline",37,1,129,"Plate_NB","e_sample","F7","Autumn","BA","10","2021","2021_10"
130,47,2021624,"35","X2021624_35",23,"GGU","0","13.10.2021",2021624,"BAL_01",1062,NA,"","Milli-q","BLW",35,1,130,"Plate_NB","BLW","G7","Autumn","BA","10","2021","2021_10"
131,2,2020620,"1EB040521","X2020620_1EB040521",2,"THA","0","",NA,"",NA,NA,"","","",NA,1,131,"Plate_NB","EB","C6",NA,NA,"","","_"
132,3,2020620,"29","X2020620_29",3,"THA","0","15.10.2020",2020620,"BAL_01",765,12,"9","9","Surface",29,1,132,"Plate_NB","e_sample","H7","Autumn","BA","10","2020","2020_10"
133,4,2020620,"32","X2020620_32",4,"THA","0","15.10.2020",2020620,"BAL_01",765,12,"10","10","Surface",32,1,133,"Plate_NB","e_sample","A8","Autumn","BA","10","2020","2020_10"
134,5,2020620,"16","X2020620_16",5,"THA","0","15.10.2020",2020620,"BAL_03",763,10,"10","10","Surface",16,1,134,"Plate_NB","e_sample","B8","Autumn","BA","10","2020","2020_10"
135,6,2020620,"3","X2020620_03",6,"THA","0","15.10.2020",2020620,"BAL_04",760,114,"2","2","Bottom",3,1,135,"Plate_NB","e_sample","C8","Autumn","BA","10","2020","2020_10"
136,7,2020620,"12","X2020620_12",7,"THA","0","15.10.2020",2020620,"BAL_03",763,84,"5","5","Pycnocline",12,1,136,"Plate_NB","e_sample","D8","Autumn","BA","10","2020","2020_10"
