"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2022624_10","X2022624_100","X2022624_101","X2022624_104","X2022624_105","X2022624_107","X2022624_108","X2022624_109","X2022624_11","X2022624_111","X2022624_112","X2022624_113","X2022624_114","X2022624_115","X2022624_116","X2022624_117","X2022624_118","X2022624_119","X2022624_120","X2022624_123","X2022624_126","X2022624_127","X2022624_128","X2022624_13","X2022624_131","X2022624_132","X2022624_133","X2022624_14","X2022624_15","X2022624_16","X2022624_17","X2022624_18","X2022624_19","X2022624_2","X2022624_21","X2022624_23","X2022624_24","X2022624_25","X2022624_27","X2022624_3","X2022624_31","X2022624_34","X2022624_36","X2022624_38","X2022624_39","X2022624_4","X2022624_40","X2022624_43","X2022624_44","X2022624_45","X2022624_47","X2022624_49","X2022624_5","X2022624_50","X2022624_53","X2022624_54","X2022624_55","X2022624_56","X2022624_57","X2022624_58","X2022624_59","X2022624_6","X2022624_61","X2022624_64","X2022624_65","X2022624_67","X2022624_68","X2022624_69","X2022624_7","X2022624_70","X2022624_71","X2022624_72","X2022624_74","X2022624_75","X2022624_76","X2022624_77","X2022624_78","X2022624_79","X2022624_8","X2022624_82","X2022624_9","X2022624_93","X2022624_95","X2022624_96","X2022624_98","X2022624_EB19062023","X2022624_EB20062023","X2022624_EB21062023","X2022624_LB19062023","X2022624_LB20062023","NTC_NK","PC_NK"
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_000833870",0.931,0.930635838150289,5912434,17195,93432,33612,0,123929,38776,120672,85228,4,49387,80287,176079,3,85683,13,42546,32947,22027,131362,41481,1390,0,5248,0,50877,6589,43472,28144,20543,30167,37061,0,51320,28259,0,16,2423,25133,1,125443,36,21,65119,1,14719,107203,0,103175,61927,105377,18523,124600,0,47460,15397,140639,140898,19318,71914,259992,82885,72462,196622,116334,339731,155725,161710,365070,28220,130953,281647,559129,7,17446,0,9,13975,15065,229797,0,90162,1,52925,11087,63090,5,1,1,0,0,0,1307
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus","GG01_002960057",0.897727272727273,0.897727272727273,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Enchelyopus","Enchelyopus cimbrius","GG01_003004841",0.994,0.854651162790698,17593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_001992952",0.867816091954023,0.867816091954023,76,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,16,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,31
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_001928731",0.918,0.885714285714286,1112686,8124,0,0,0,1,34019,2760,10256,0,827,1,58605,0,6497,6,26260,53508,0,21460,37346,1,14774,1,0,17611,34509,15996,37511,1,14,28182,0,16434,15661,3,8,19656,29533,0,0,6016,9,17,0,0,24982,0,0,4690,35140,14590,5,0,5,3121,29220,45256,0,0,104750,4,2,43496,1,24473,0,11367,39536,0,2,26344,33508,1,29181,7820,20379,1,7956,4,47288,2,0,13254,3894,0,0,0,0,0,0,0,46807
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_000212528",0.902,0.903409090909091,185,7,0,0,0,0,0,0,0,0,0,0,14,0,4,0,8,1,0,5,3,0,0,0,0,1,24,0,15,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,8,0,0,11,0,0,11,0,2,0,5,14,0,0,9,9,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG01_000009311",0.928,0.903409090909091,685,2,0,0,0,0,22,0,0,0,0,0,111,0,0,0,17,10,0,22,41,0,0,0,0,0,27,3,30,0,0,33,0,0,0,0,0,1,28,0,0,0,0,0,0,0,3,0,0,1,38,9,0,0,0,3,0,52,0,0,79,0,0,49,0,0,0,10,25,0,0,10,30,0,2,6,1,0,6,0,3,0,0,3,3,0,0,0,0,0,0,0,5
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG01_002146219",1,0.88953488372093,10829,0,0,0,0,0,10828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Raniceps","Raniceps raninus","GG01_004222119",1,0.913793103448276,15869,0,15831,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata mustela","GG01_003527719",1,0.884393063583815,25856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
