"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X1.EB28.05.19","X1.EB29.05.19","X1.EB31.05.19","X1.LB28.05.19","X1.LB29.05.19","X1.LB31.05.19","X18KB7065603","X18KB7065604","X18KB7065605","X18KB7065606","X18KB7065607","X18KB7065608","X18KB7065609","X18KB7065610","X18KB7065611","X18KB7065612","X18KB7065613","X18KB7065614","X18KB7065615","X18KB7065616","X18KB7065617","X18KB7065618","X18KB7065619","X18KB7065620","X18KB7065621","X18KB7065622","X18KB7065623","X18KB7065624","X18KB7065625","X18KB7065626","X18KB7065627","X18KB7065628","X18KB7065629","X18KB7065630","X18KB7065631","X18KB7065632","X18KB7065633","X18KB7065634","X18KB7065635","X18KB7065636","X18KB7065637","X18KB7065638","X18KB7065639","X18KB7065640","X18KB7065641","X18KB7065642","X18KB7065644","X19KB5524101","X19KB5524102","X19KB5524103","X19KB5524104","X19KB5524105","X19KB5524106","X19KB5524107","X19KB5524108","X19KB5524109","X19KB5524110","X19KB5524111","X19KB5524112","X19KB5524113","X19KB5524114","X19KB5524115","X19KB5524116","X19KB5524117","X19KB5524118","X19KB5524119","X19KB5524120","X19KB5524121","X19KB5524122","X19KB5524123","X19KB5524124","X19KB5524125","X19KB5524126","X19KB5524127","X19KB5524128","X19KB5524129","X19KB5524130","X19KB5524131","X19KB5524132","X2.EB28.05.19","X2.EB29.05.19","X2.LB28.05.19","X2.LB29.05.19","KPH107","KPH152","PCRblank_B1","PCRblank_D1"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GL01_000051720",1,0.994117647058824,14089,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,1,0,2,0,0,1,2,14052,0,0,0,1,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,2,1,1,3,2,0,1,0,0,0,0,0,2,0
"Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Brosme","Brosme brosme","GL01_000000051",0.994,0.976470588235294,29,0,3,0,0,1,0,7,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius","GL01_000000030",1,1,77,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,10,6,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0
"Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Gymnoscopelus","Gymnoscopelus nicholsi","GL01_000000074",1,1,132214,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,1,1,1,0,0,0,0,0,0,2,1,0,5,0,9,0,0,5,0,4,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,132158,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GL01_000000004",0.994,0.988095238095238,1444469,2,3,0,2,0,2,8,6,4,56036,3,32627,2,9,0,3,2,8,1,11,0,5,1,4,0,18,2,2,8,4,15118,8,2,0,2,126142,4,29,16,0,28,42252,33,12,11,47,1,3,1,29739,26459,7,29701,79,7632,1,3,976975,2,18,27,11730,1992,6,13,9,20,1,1,3,3,3,3,219,0,5,1467,1,2,12,9,85825,4,10,3,2,1
"Animalia","Chordata","Teleostei","Perciformes","Channichthyidae","Pseudochaenichthys","Pseudochaenichthys georgianus","GL01_000724578",0.971,0.926136363636364,4804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4790,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus|Anarhichas lupus|Anarhichas minor","GL01_000000013",1,0.994082840236686,55439,2,1,1,1,1,0,0,0,0,1,0,0,0,3,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,4,4,1,0,0,4,0,0,0,0,11,15477,1184,1,0,20668,1,2,0,3475,0,1671,8060,843,0,1,2,4,0,2,1,0,0,0,0,0,3346,0,0,1,0,0,0,1,0,0,651,0,2,0,0,2,2,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GL01_000048087",1,1,59197,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,10,0,1,5,0,5,59110,1,0,0,3,0,2,0,6,0,0,12,1,0,0,0,4,0,2,1,0,0,0,0,1,2,0,2,0,0,0,0,2,0,1,2,0,1,0,3,0,4,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GL01_000000101",1,0.994082840236686,37,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,1,0,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GL01_000081497",1,0.988095238095238,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
