"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2020611_025","X2020611_026","X2020611_027","X2020611_028","X2020611_029","X2020611_030","X2020611_031","X2020611_032","X2020611_041","X2020611_042","X2020611_043","X2020611_044","X2020611_045","X2020611_047","X2020611_048","X2020611_049","X2020611_050","X2020611_051","X2020611_052","X2020611_053","X2020611_054","X2020611_055","X2020611_056","X2020611_057","X2020611_058","X2020611_059","X2020611_060","X2020611_061","X2020611_062","X2020611_063","X2020611_064","X2020611_082","X2020611_083","X2020611_084","X2020611_085","X2020611_086","X2020611_087","X2020611_088","X2020611_091","X2020611_092","X2020611_093","X2020611_094","X2020611_095","X2020611_096","X2020611_097","X2020611_098","X2020611_099","X2020611_100","X2020611_101","X2020611_102","X2020611_103","X2020611_104","X2020611_105","X2020611_106","X2020611_107","X2020611_108","X2020611_109","X2020611_110","X2020611_111","X2020611_112","X2020611_114","X2020611_115","X2020611_116","X2020611_117","X2020611_118","X2020611_119","X2020611_120","X2020611_123","X2020611_124","X2020611_125","X2020611_126","X2020611_127","X2020611_128","X2020611_46","KPH250","PCRblank_B1","PCRblank_D1"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GL01_000112220",0.943,0.926553672316384,169222,0,1,13,5,0,12,0,560,0,1,19,0,0,9,2,0,1,923,7,2,32,7596,13741,0,0,18,13,0,23,11,27359,0,4,15632,0,2,1,0,14427,3,0,3,9702,2,0,0,11832,2,9439,13734,2,14,0,1,11,4,9874,4,9096,5,0,18224,3,0,4,4,1,2,0,0,2,1,0,6838,0,1,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Molva","Molva molva","GL01_000097991",0.921,0.916666666666667,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GL01_000000848",0.994,0.988095238095238,401640,0,0,565,16,724,5730,5348,6340,1,0,1769,0,271,5528,2903,1,1,399,24675,2815,2303,713,2437,4,7,364,6078,0,400,8509,5041,1,761,57,76,6532,3683,1,782,3591,3849,11826,7,3,0,1,33284,10623,60208,22030,2320,27279,1,507,5,5552,12640,9813,2620,73527,4,504,146,16,635,3821,0,3733,2991,0,8766,4144,10,2347,0,0,2
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GL01_000021118",1,0.994082840236686,769,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,1,0,0,0,0,298,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GL01_000133320",0.953,0.942528735632184,9577,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,9551,1,0,0,0,0,0,1,0,1,0,4,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus|Icelus","Artediellus atlanticus|Icelus cataphractus|Icelus spatula","GL01_000000967",1,0.994047619047619,3894,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,3877,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GL01_000047563",1,0.994082840236686,13222,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,179,0,765,0,1,1623,1,0,1,0,1,0,0,0,0,0,0,0,3,2930,1,1011,0,0,0,0,1,0,1336,2,0,4,0,0,0,1,0,4,3819,1,0,0,2,1529,0,0,0,0,0,0,0,0,0,0,0,1,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GL01_000013295",1,0.988095238095238,33533,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,1,1,3,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6152,1,0,8818,0,0,1,0,1,1,1,0,2,0,0,18534,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GL01_000146013",0.96,0.948571428571429,17728,0,0,295,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,80,391,0,5,710,0,7,0,2415,0,0,0,2308,0,1,417,0,0,0,730,1388,288,0,1,0,1577,0,0,1,0,0,0,0,3,0,0,0,7107,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","GL01_000011392",1,0.994082840236686,9506,0,0,0,0,0,4385,0,0,0,0,418,0,0,0,0,0,0,184,1,0,544,0,0,0,0,513,2,0,123,0,0,0,0,1,0,0,0,0,200,0,0,267,0,0,0,0,251,0,0,2,0,2,0,1,1666,0,0,0,0,642,0,4,0,0,96,0,0,3,1,0,0,0,0,200,0,0,0
