"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2022607_1","X2022607_10","X2022607_11","X2022607_14","X2022607_15","X2022607_151","X2022607_153","X2022607_154","X2022607_156","X2022607_158","X2022607_159","X2022607_16","X2022607_160","X2022607_161","X2022607_162","X2022607_163","X2022607_164","X2022607_165","X2022607_166","X2022607_167","X2022607_17","X2022607_171","X2022607_172","X2022607_173","X2022607_175","X2022607_183","X2022607_184","X2022607_185","X2022607_186","X2022607_188","X2022607_19","X2022607_191","X2022607_192","X2022607_193","X2022607_194","X2022607_195","X2022607_196","X2022607_197","X2022607_199","X2022607_20","X2022607_200","X2022607_203","X2022607_205","X2022607_210","X2022607_22","X2022607_26","X2022607_27","X2022607_279","X2022607_30","X2022607_31","X2022607_32","X2022607_33","X2022607_36","X2022607_37","X2022607_38","X2022607_39","X2022607_40","X2022607_42","X2022607_43","X2022607_44","X2022607_47","X2022607_48","X2022607_49","X2022607_50","X2022607_52","X2022607_53","X2022607_58","X2022607_59","X2022607_6","X2022607_60","X2022607_61","X2022607_65","X2022607_69","X2022607_7","X2022607_71","X2022607_73","X2022607_74","X2022607_9","X2022607_EB071022","X2022607_EB280922","X2022607_LB081022","X2022624_106","X2022624_12","X2022624_121","X2022624_122","X2022624_20","X2022624_26","X2022624_28","X2022624_35","X2022624_37","X2022624_48","X2022624_66","X2022624_80","X2022624_81","PC_NJ"
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_003461770",0.862857142857143,0.862857142857143,265,3,1,1,1,7,0,0,0,0,0,4,0,4,0,1,4,4,7,0,0,4,0,0,10,0,0,1,8,0,6,0,0,2,0,9,9,13,13,17,0,13,0,11,4,0,4,0,0,0,4,0,2,0,4,0,6,4,3,0,0,0,0,0,0,0,15,4,8,4,0,0,6,0,0,0,3,3,3,0,0,0,0,0,4,0,10,0,4,0,0,5,11,0,1,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG01_002114587",0.946,0.857142857142857,1465696,1515,0,0,25891,0,4851,37052,19778,2402,0,10934,25482,0,27201,24518,36788,35259,67562,39468,27989,35692,8055,0,38247,2143,29579,25678,23136,9284,0,0,0,0,23143,22843,4039,6146,16945,15726,43359,17951,14456,30019,16637,1,2155,0,0,0,37078,2690,8488,7397,0,0,12572,1,9676,0,0,35453,4658,0,23232,0,15921,4880,78763,41088,0,3745,45691,0,0,26405,8008,0,25357,1,0,0,37107,0,4860,0,66355,0,26467,0,0,5590,8769,27059,54715,71746
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_000552890",0.912,0.888888888888889,490651,1,0,1401,0,2802,0,0,6672,0,1,4491,0,2125,0,18362,0,5884,25656,5089,0,0,0,0,12433,2531,8238,0,11155,0,0,0,0,13505,4842,0,8998,7090,3680,3728,9774,5313,2235,416,5159,4655,1868,1,0,0,7330,1335,0,0,0,0,10367,5499,12178,0,0,12299,0,15709,13050,0,8504,2620,6657,2915,0,0,5550,4802,1509,0,1,0,2386,0,0,0,0,0,1969,6403,25850,0,58125,3711,0,47248,10433,0,46096,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG01_006026944",1,0.88953488372093,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3854,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG01_002487483",1,0.88953488372093,7848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547,0,0,0,0,0,0,0,0,0,0,0,5301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Raniceps","Raniceps raninus","GG01_006232085",1,0.908045977011494,18652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12730,0,0,0,0,0,0,0,0,0,0,0,5922,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_005764588",0.958,0.947368421052632,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","GG01_005771899",0.994,0.994117647058824,5751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5566,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GG01_000034958",1,1,632782,8824,0,1160,0,9282,0,4515,0,0,0,5052,0,1,0,3304,20136,6795,17138,610,8320,5365,12438,0,4335,0,16676,1414,22599,10850,18866,0,0,3166,9326,8884,3390,17041,16218,22061,4132,19830,0,8645,3533,0,10054,0,0,0,5812,0,5348,1,8897,7358,3571,19084,3244,1,0,0,0,0,0,0,8252,26452,13924,3368,0,0,23670,0,0,0,10904,3396,888,1,0,0,0,11687,29891,8563,13176,0,20051,0,0,4291,35768,53945,7279,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG01_005724822",0.939,0.913294797687861,38217,0,0,0,0,0,0,0,0,0,0,4568,0,0,0,3511,0,0,7687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424,0,0,2,6398,2845,0,0,1241,0,9541,0
