"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021607_168","X2021607_170","X2021607_172","X2021607_177","X2021607_179","X2021607_180","X2021607_182","X2021607_196","X2021607_202","X2021607_205","X2021607_207","X2021607_208","X2021607_209","X2021607_212","X2021607_213","X2021607_216","X2021607_218","X2021607_219","X2021607_224","X2021614_109","X2021614_110","X2021614_112","X2021614_125","X2021614_132","X2021614_137","X2021614_139","X2021614_142","X2021614_143","X2021614_148","X2021614_175","X2021614_18","X2021614_184","X2021614_20","X2021614_212","X2021614_214","X2021614_215","X2021614_29","X2021614_39","X2021614_45","X2021614_EB011121","X2021614_LB011121","X2021614_LB081121","Mock_v4_NG_br1","Mock_v4_NG_br2","Mock_v4_NG_br3","NTC_NG"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG01_000615294",1,0.958823529411765,49659,3,5,1,0,0,0,1,1,4,0,3,2,14729,4,1,3,4,0,0,4,0,3666,0,30537,2,657,0,0,3,0,0,0,7,0,4,0,2,0,0,0,1,6,4,0,5,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Crystallogobius","Crystallogobius linearis","GG01_000850179",1,1,11799,0,0,0,0,0,0,0,0,0,0,0,0,0,11798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius","GG01_001175430",1,1,9775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9772,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG01_000000004",0.994,0.994047619047619,4020502,242901,850929,814360,0,10,243,7900,21103,56134,0,31162,99157,41203,108212,394545,473981,207244,194051,141848,63711,30302,39757,16,53228,5267,9926,6,56637,16929,22,10,6,2675,21916,12616,19217,3030,25,15,9,80,21,33,34,31,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi","GG01_000483284",0.965,0.913294797687861,52073,2,4,1,0,0,0,0,0,0,0,1,2,0,1,5122,43430,1,1,1,0,0,7,0,3,2,0,0,0,0,0,0,0,0,0,3472,0,0,0,0,0,0,0,8,8,7,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG01_000044452",1,0.958579881656805,59442,3,9465,5605,0,0,1,6,0,1,0,1,3,2,1,2,28816,7,1,8898,0,0,21,0,4,1,0,0,0,6518,0,0,0,1,3,1,1,1,3,0,0,0,0,35,26,15,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG01_001185353",1,0.964912280701754,229933,8,7989,17619,0,2,1,11242,1,2,1,2,7,2004,7,10,2274,837,3,777,1191,0,73041,10,26866,49321,1094,0,1,576,3,0,0,34833,6,3,1,1,0,0,0,6,15,74,59,46,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Micrenophrys","Micrenophrys lilljeborgii","GG01_001166914",1,0.941176470588235,10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10073,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG01_000077081",1,1,156511,12154,18,11652,0,0,1,5,1,0,0,2,19526,5,5,21522,16,5,4323,1,6,0,12,0,14,6,5,0,0,6,0,0,0,1,0,5,0,2,2,0,0,7,0,70044,17131,34,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Taurulus","Taurulus bubalis","GG01_000176414",1,0.988095238095238,7968,0,7921,2,0,1,0,0,1,2,0,1,3,1,0,3,1,0,0,0,0,0,6,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,7,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG01_000000092",1,1,773432,12375,109831,36974,0,2,3,29,5,8,0,30540,27925,4543,15721,60729,44418,16,674,29915,24,0,58,5,11340,19543,11,1,2,12158,1,0,0,3,5,12,1,1,4,8,1,4,3,119858,110883,125797,1
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis fabricii|Liparis inquilinus|Liparis liparis","GG01_000572092",0.994,0.994082840236686,89527,4,7093,7,0,0,0,4,0,10391,0,1,1,2,1,2,3,1,0,0,0,0,16,9,53558,18381,3,0,4,9,0,4,0,0,1,4,0,0,0,0,1,0,10,6,8,3,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_001813697",0.953488372093023,0.953488372093023,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_000715185",0.959,0.952662721893491,27,4,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_000382676",1,0.988095238095238,92726,4204,23,2,0,0,2,12747,2,10778,0,0,1,31015,2,0,2,6407,0,1,3,1,8766,4,13434,2,0,0,0,0,1,0,0,0,0,5306,1,1,0,0,0,0,3,9,4,5,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Chirolophis","Chirolophis ascanii","GG01_001497898",1,0.988165680473373,5291,0,0,5287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GG01_000022723",1,0.994082840236686,1283369,43,3384,10353,3,8,6,1966,7,16,0,7,26,288,22,50,6223,177,5,2071,10063,1,109906,8,4315,8005,11050,7,3,1592,2,3,1,5669,8,25,4,2,0,1,0,0,3,520145,331366,256535,0
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","GG01_000714859",1,0.982142857142857,22,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,1,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","GG01_000947468",0.953,0.941860465116279,22,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","GG01_000372424",0.924,0.91812865497076,15,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
