"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_1","X2021614_10","X2021614_107","X2021614_11","X2021614_111","X2021614_120","X2021614_127","X2021614_128","X2021614_129","X2021614_131","X2021614_138","X2021614_140","X2021614_144","X2021614_145","X2021614_149","X2021614_151","X2021614_153","X2021614_158","X2021614_16","X2021614_160","X2021614_164","X2021614_167","X2021614_168","X2021614_170","X2021614_174","X2021614_179","X2021614_180","X2021614_183","X2021614_185","X2021614_19","X2021614_218","X2021614_25","X2021614_26","X2021614_27","X2021614_3","X2021614_43","X2021614_44","X2021614_48","X2021614_5","X2021614_50","X2021614_7","X2021614_8","X2021614_EB171121","X2021614_EB181121","Mock_v5_NH_br1","Mock_v5_NH_br2","Mock_v5_NH_br3","NTC_NH"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GG03_000336828",0.965,0.965317919075145,316233,0,17,2,4,11,10,1,2,14498,15659,38157,7,67399,0,10879,17058,7044,0,2,9495,62296,19388,0,29231,1,6,0,13578,0,38,11208,1,0,0,0,2,20,0,0,8,0,1,0,0,59,36,115,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG03_000028187",0.97,0.95906432748538,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","GG03_000371487",1,1,21180,0,1,0,0,0,1,0,0,0,1,1,0,0,0,6,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21159,0,0,0,0,0,0,0,2,2,2,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG03_000149063",1,0.958823529411765,62466,0,3,0,0,1,6976,0,14886,19904,0,1,0,0,0,14610,2,0,0,0,1,0,6057,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG03_000229634",0.951,0.918604651162791,152824,0,1,0,0,15,2,0,0,4,0,0,4,4,0,4526,19482,1,0,0,5792,3,5,1,0,0,3,0,2,0,7,3,0,0,0,0,0,2,0,1,0,0,0,0,0,28364,28058,66544,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG03_000000062",0.994,0.994047619047619,552187,9,33,13806,1,707,11925,1896,7,76811,58,27900,6402,10,0,3297,55449,23703,15370,13,20318,8447,6395,0,45,8831,24564,49,13577,0,421,17487,1,5,52,0,11242,2,13085,0,7,10,2,0,0,61595,33215,95439,1
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi","GG03_001241529",0.988,0.952662721893491,28862,0,0,0,0,0,9414,0,0,19117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,119,114,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG03_000035171",0.963,0.946745562130177,226503,0,2,0,2,14,852,1,0,1473,11,31300,0,1,0,5,51,2,0,0,5,577,3,0,2,1,0,0,5103,0,2,1358,0,0,0,0,6,0,2,0,1,0,0,0,0,61734,42372,81623,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus scaber","GG03_000007241",1,0.970760233918129,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,45,161,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GG03_001133458",0.941,0.929411764705882,1000073,2,1,15749,8579,67,4426,3,1070,17498,61,14460,1,6,0,47286,2984,5248,4,1,11,16145,19,2,10,3,6,0,14363,1,3,3835,2,1,1,1,37472,0,2,0,1,0,1,0,0,273985,161819,374944,0
