"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021512_1","X2021512_10","X2021512_100","X2021512_101","X2021512_102","X2021512_103","X2021512_123","X2021512_124","X2021512_125","X2021512_126","X2021512_127","X2021512_128","X2021512_129","X2021512_130","X2021512_131","X2021512_132","X2021512_133","X2021512_155","X2021512_156","X2021512_157","X2021512_158","X2021512_159","X2021512_160","X2021512_161","X2021512_163","X2021512_164","X2021512_165","X2021512_2","X2021512_3","X2021512_32","X2021512_33","X2021512_34","X2021512_35","X2021512_36","X2021512_37","X2021512_38","X2021512_39","X2021512_4","X2021512_40","X2021512_44","X2021512_45","X2021512_46","X2021512_47","X2021512_48","X2021512_49","X2021512_5","X2021512_50","X2021512_51","X2021512_52","X2021512_54","X2021512_6","X2021512_65","X2021512_66","X2021512_67","X2021512_68","X2021512_69","X2021512_70","X2021512_71","X2021512_72","X2021512_73","X2021512_8","X2021512_9","X2021512_95","X2021512_96","X2021512_97","X2021512_98","X2021512_99","X2022624_102","X2022624_110","X2022624_125","X2022624_129","X2022624_130","X2022624_138","X2022624_22","X2022624_29","X2022624_30","X2022624_33","X2022624_41","X2022624_46","X2022624_51","X2022624_60","X2022624_84","X2022624_85","X2022624_86","X2022624_87","X2022624_88","X2022624_89","X2022624_90","X2022624_91","X2022624_92","X2022624_94","X2022624_97","X2022624_99","X2022624_LB23062023","NTC_NL","PC_NL"
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_001250568",0.884393063583815,0.884393063583815,81,2,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,5,0,2,3,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,2,0,8,0,0,0,0,0,19,0,0,0,3,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG01_002474686",0.94,0.834285714285714,42028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42027,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","GG01_001732410",0.977,0.865497076023392,9179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9179,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_000357366",1,0.913793103448276,1147261,8561,0,10299,30365,3,0,8534,0,0,0,4,0,4120,1,672,0,0,13140,1,14394,42643,0,0,27691,0,4152,0,0,0,35236,13030,21684,40606,92054,3224,1,24715,0,2,12443,0,12054,1,60310,0,8423,13036,0,9297,0,0,0,0,7865,13465,1,19306,0,53678,1,12365,13743,0,11869,0,11480,18254,0,1,0,19294,1,79598,4,80707,24304,8964,0,5,38702,15,9811,0,87605,12013,1,14399,11746,2,51145,6,0,7222,28984,9,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_001433290",0.901,0.902298850574713,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,1,0,0,0,0,5,0,0,0,3,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata mustela","GG01_003033007",1,0.884393063583815,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG01_002239570",1,0.88953488372093,22948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Raniceps","Raniceps raninus","GG01_003425446",1,0.913793103448276,49854,0,0,0,0,0,0,0,0,0,0,0,49853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_000589413",0.935,0.935672514619883,6230728,33681,9849,34125,151163,79945,29778,47663,0,2,17348,25500,17586,27695,210236,1148,1,40566,193117,3,13973,132208,1,3627,165456,7301,18267,106946,39580,16131,608371,22767,146585,331277,180589,11901,2811,64864,3234,46611,94881,83232,45517,4,73822,130901,17818,19413,3881,21865,3354,0,20501,38491,19581,47312,52,42639,8250,54263,8967,20837,44294,0,108034,4732,28463,35126,0,16363,12151,231448,0,104976,34,168360,36176,306306,2,74089,112884,29,182496,0,320274,17745,20546,81469,8291,3945,296017,20103,2602,14755,311081,63618,6832
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG01_004791738",0.992,0.865921787709497,1074321,58102,0,0,7435,60264,0,41084,0,1,29913,0,0,0,10655,0,0,0,17119,0,0,18169,1,0,30705,0,25270,105496,9674,0,43228,6032,12247,29050,4283,0,11970,0,15833,782,10362,0,57287,0,0,70440,35934,0,0,1,12923,0,0,29282,0,6580,0,22164,0,18099,0,10938,1,0,105717,0,0,18326,0,16823,0,31306,0,0,0,36279,1,0,0,7,21472,6,15283,0,0,0,0,0,0,0,5171,3,12602,0,0,1,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GG01_000151996",0.965,0.965317919075145,2372885,10275,37921,115727,51801,108435,1,60165,0,1,26610,104079,69411,80056,1,704,0,72440,0,1,13967,24879,0,16046,2,30185,31285,1,0,58147,16202,10705,1,14337,2,1,794,44210,2,80304,0,0,48108,0,62143,0,15503,27992,16478,20317,0,0,69688,18428,20103,25228,232,0,33865,14204,16206,25128,25389,0,90992,18890,96435,69380,0,47613,0,10775,0,2,1,20,75447,12877,0,64819,24908,45,1,1,7974,43187,84853,6,0,16253,26714,22745,0,1,35051,76824,29361
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","GG01_001715822",1,1,12050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12050,0,0,0
