"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021607_147","X2021607_169","X2021607_171","X2021607_173","X2021607_174","X2021607_175","X2021607_181","X2021607_186","X2021607_187","X2021607_201","X2021607_203","X2021607_204","X2021607_206","X2021607_211","X2021607_214","X2021607_215","X2021607_217","X2021607_227","X2021607_LB230921","X2021614_116","X2021614_119","X2021614_122","X2021614_124","X2021614_13","X2021614_134","X2021614_14","X2021614_141","X2021614_146","X2021614_15","X2021614_152","X2021614_166","X2021614_176","X2021614_182","X2021614_186","X2021614_209","X2021614_213","X2021614_219","X2021614_28","X2021614_35","X2021614_36","X2021614_41","X2021614_47","X2021614_49","X2021614_97","X2021614_99","X2021614_LB041121"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","GG02_000415295",1,1,16858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16854,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG02_000117606",1,0.982352941176471,19620,0,2,10,4,10,7,2,10,9,10,9,4,12,0,7,0,1,6,0,0,12818,35,0,0,2,0,0,6583,4,12,2,0,0,1,0,4,2,0,3,0,0,0,9,0,42,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG02_000000010",0.994,0.994047619047619,4587306,37328,697472,332734,1125586,285811,849842,29,12,12195,70068,74218,36975,34675,8,367701,14739,270959,203226,5,0,18860,58408,103,0,16457,0,420,16432,34,11968,8,1,2442,2,7,1087,7439,11,15,446,33,5005,16173,6274,12098,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi","GG02_000748695",0.988,0.935294117647059,23,0,1,0,1,2,1,0,0,0,0,7,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG02_000914771",0.953,0.941860465116279,166801,3,24,15702,14737,17198,23226,3,5,6,4,3974,1,13,0,10,0,11593,2423,0,6,24087,3952,10,0,19,0,0,28979,1,3309,11,0,3,0,0,1,1,2,0,0,6,4788,1648,0,11055,1
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG02_000000068",1,1,91467,24591,11,44620,18,12,22090,1,0,1,1,3,3,12,0,5,1,6,29,0,0,9,5,2,0,7,0,0,5,0,1,16,0,0,0,0,1,2,0,0,0,3,3,1,0,8,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Taurulus","Taurulus bubalis","GG02_000214385",1,0.988095238095238,85941,1,1,7,3,0,4273,0,0,0,0,9981,0,20111,0,2,2,1,1,0,0,9,1,0,0,3,0,0,1,0,0,51538,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG02_000000132",1,1,340924,4,65706,37494,61670,25879,7159,1,4,5,3,19712,1,14605,3,35986,1,49740,30,0,0,34,8,1,0,12,2,3,15,0,5,22792,0,0,2,0,0,1,0,1,0,5,6,9,0,25,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis montagui","GG02_001057642",1,0.941520467836257,73124,2,16350,2,17131,9452,8,2,1,0,0,1,0,2,0,10742,0,2,19401,1,2,1,5,0,0,5,0,0,2,0,0,2,0,0,0,0,0,0,7,1,0,1,0,0,0,1,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG02_000000245",1,0.988095238095238,39272,1,1,9738,5376,0,2,1,2,5,2,12218,0,2,1,2,0,11889,4,0,0,8,2,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,1,4,3,0,3,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG02_000596027",0.929824561403509,0.929824561403509,110,0,0,0,0,0,107,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG02_000224677",1,0.988095238095238,102388,2,4,1,2,1,15585,8,1,1,24289,3,1,3,0,3783,0,7814,6,0,0,5,3,4,0,3,0,0,16427,3,11347,3,0,23083,0,0,1,0,0,0,0,1,0,1,0,3,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","GG02_000000042",1,0.994082840236686,107266,1,15,10810,35,16,16,2,9,8,2,9,0,14,0,8,2,31,4,0,0,61252,9098,12,0,2,0,0,5,0,4541,3,0,1,0,0,2,7,0,0,1,3,6526,3249,1,11581,0
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","GG02_001497976",1,0.982142857142857,13374,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13365,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes",NA,NA,NA,"GG02_001289496",0.890173410404624,0.890173410404624,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","GG02_001394656",0.911,0.911764705882353,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","GG02_000879044",0.959,0.941860465116279,60717,1,5,15941,0,7,7,1,0,6929,4,4,0,5,0,1,0,1,2,0,0,15,8,0,0,1,0,0,8889,0,4,2,0,11548,1,0,9544,0,0,0,0,3972,1,10,0,3814,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae",NA,NA,"GG02_000968454",0.879310344827586,0.879310344827586,23,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","GG02_000041426",0.97,0.970588235294118,39,0,0,2,2,10,3,0,0,6,0,5,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GG02_000000023",1,1,939038,13,22525,96158,20355,67380,42860,9408,8562,30281,18037,36190,1,88231,5,12087,15323,11573,10658,0,1,62590,44341,34,0,28,1,0,42123,43,22585,37207,5,25921,1,0,22803,2,16,1,1,10150,8,122397,0,59129,4
"Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Zeugopterus","Zeugopterus punctatus","GG02_000646321",1,0.894736842105263,14481,2,1,1,14466,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","GG02_001807757",0.918,0.919075144508671,1154070,25,11637,66259,69895,89777,33704,28640,106718,179990,2,108480,3,181111,16,88035,0,22408,24084,1,12,8,10,0,0,14,0,2,22245,0,96111,1,5,0,24756,0,3,1,5,3,49,20,1,22,3,14,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha","GG02_000578964",0.935,0.923529411764706,50,0,2,0,16,10,17,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii","GG02_001196708",0.994,0.994152046783626,17283,0,0,6,2,3,0,1,1,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GG02_000420863",1,0.994082840236686,19645,1,2,1,1,0,1,0,8,3,0,1,0,8068,0,3,0,4640,0,0,0,5,4,1,0,637,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6265,0,0,0,2,0
"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","Alca torda","GG02_001983026",1,0.945054945054945,29,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","GG02_000361104",1,1,42586,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42582,0,1,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","GG02_000224368",1,1,10720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","GG02_000368921",0.988,0.988235294117647,33398,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5614,0,0,1,0,0,0,0,0,0,0,0,0,0,27780,0,0,0,0,0,0,1
"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae","GG02_000225253",1,0.994117647058824,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris","GG02_000228685",1,0.994152046783626,5366,0,0,57,13,4,208,1798,88,68,88,24,0,61,0,77,424,2289,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","GG02_000011548",1,1,15496,1565,101,551,7378,1880,546,1,16,136,205,303,14,1507,0,1,0,198,965,0,0,0,26,0,0,0,0,0,65,0,0,0,0,0,0,0,29,0,0,0,0,1,0,8,0,0,0
"Animalia","Echinodermata","Echinoidea",NA,NA,NA,NA,"GG02_000089041",0.655737704918033,0.655737704918033,50,0,0,11,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Echinodermata","Echinoidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","GG02_002338682",0.994,0.687830687830688,111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
