"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X1EB110521","X1EB140521","X1EB190521","X1EB250521","X1EB280521","X2021607_001","X2021607_002","X2021607_003","X2021607_004","X2021607_005","X2021607_006","X2021607_007","X2021607_008","X2021607_009","X2021607_010","X2021607_011","X2021607_013","X2021607_014","X2021607_015","X2021607_016","X2021607_017","X2021607_018","X2021607_019","X2021607_020","X2021607_021","X2021607_022","X2021607_023","X2021607_024","X2021607_025","X2021607_026","X2021607_027","X2021607_028","X2021607_029","X2021607_030","X2021607_031","X2021607_032","X2021607_033","X2021607_035","X2021607_036","X2021607_037","X2021607_038","X2021607_039","X2021607_040","X2021607_041","X2021607_042","X2021607_043","X2021607_044","X2021607_045","X2021607_046","X2021607_047","X2021607_048","X2021607_049","X2021607_050","X2021607_051","X2021607_052","X2021607_053","X2021607_054","X2021607_055","X2021607_056","X2021607_058","X2021607_059","X2021607_060","X2021607_061","X2021607_062","X2021607_063","X2021607_064","X2021607_065","X2021607_066","X2021607_067","X2021607_068","X2021607_069","X2021607_070","X2021607_071","X2021607_072","X2021607_073","X2021607_074","X2021607_075","X2021607_076","X2021607_077","X2021607_079","X2021607_080","X2021607_081","X2021607_082","X2021607_083","X2021607_084","X2021607_085","X2021607_086","X2021607_087","X2021607_088","X2021607_089","X2021607_090","X2021607_091","X2021607_092","X2021607_093","X2021607_094","X2021607_095","X2021607_096","X2021607_097","X2021607_098","X2021607_099","X2021607_100","X2021607_101","X2021607_102","X2021607_103","X2021607_104","X2021607_105","X2021607_106","X2021607_107","X2021607_108","X2021607_109","X2021607_110","X2021607_254","X2021607_255","X2021607_256","X2021607_257","X2021607_258","X2021607_259","X2021607_260","X2021607_261","X2021607_262","X2021607_263","X2021607_264","X2021607_265","X2021607_266","X2021607_267","X2021607_268","X2021607_269","X2021607_270","X2021607_271","X2021607_272","X2021607_274","X2021607_275","X2021607_276","X2021607_277","X2021607_278","X2021607_279","X2021607_280","X2021607_281","X2021607_282","X2021607_283","X2021607_284","X2021607_285","X2021607_286","X2021607_287","X2021607_288","X2021607_289","X2021607_290","X2021607_291","X2021607_292","X2021607_293","X2021607_294","X2021607_296","X2021607_297","X2021607_298","X2021607_299","X2021607_300","X2021607_301","X2021607_302","X2021607_303","X2021607_304","X2021607_305","X2021607_306","X2021607_307","X2021607_308","X2021607_309","X2021607_310","X2021607_311","X2021607_312","X2021607_313","X2021607_314","X2021607_315","X2021607_316","X2021607_317","X2021607_318","X2021607_319","X2021607_320","X2021607_321","X2021607_322","X2021607_323","X2021607_324","X2021607_325","X2021607_326","X2021607_327","X2EB260521","C_H2O_C06","C_H2O_C07","C_H2O_D01","D_H2O_C06","D_H2O_C07","D_H2O_D01","PC_C","PC_D"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata mustela","GG01_000386393",1,0.878612716763006,4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG01_000108821",1,0.88953488372093,8798,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5469,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,2,0,0,0,0,3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_000073430",0.938,0.932584269662921,58565,0,0,0,0,1,0,0,264,1,1,953,1,0,155,6,0,0,643,2,0,1,2270,1,58,1,0,0,0,285,0,1,1,0,1,0,996,0,1,300,665,0,1715,0,0,1288,3,0,0,0,1006,0,854,482,1,591,0,219,1712,0,474,924,379,2,4,0,868,900,1291,0,0,1948,1025,3526,0,3,1155,2097,3,1,0,0,0,1,1796,0,0,3210,0,0,0,0,0,0,1,0,0,1,390,2,2,0,0,1,2,0,0,1,1199,2527,489,2,0,0,29,790,1,2,2,0,0,0,431,0,0,2503,0,1892,2015,926,2062,1,894,201,733,0,201,397,1165,3,2,1,0,79,81,197,307,508,334,576,1475,147,0,145,34,240,180,10,284,4,7,585,0,0,0,1,132,0,0,3,2,1,41,0,0,2,0,1,2,0,1,227,0,0,0,0,0,1,1,0,0,0,3
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GG01_000449087",0.959,0.959302325581395,44409,0,0,0,0,0,0,0,5,0,0,211,1,2,0,3,0,0,656,1320,1,1,958,0,78,720,0,0,0,0,0,0,3,0,2,530,0,0,0,474,1,0,1,0,0,127,1900,0,0,0,238,191,0,2,1,1,0,0,1,0,1,1,0,1,4,0,1,0,1,0,0,3,4,2,0,0,1,0,1741,0,0,0,1,0,2035,0,1,3628,0,0,0,0,796,1,0,216,2,1,1,2,1121,0,0,2,2,0,0,1758,0,2,2254,1379,0,0,133,2,2,2,2344,0,0,0,1098,1,220,2,0,922,358,433,261,0,363,1,1,1,0,2,1429,2018,272,0,0,53,67,486,859,1031,1384,170,3036,471,1,316,2,13,0,133,1076,4,15,4,0,1,1,0,2,0,0,1,3,0,36,0,1,2,252,3,152,33,3,1469,316,0,0,0,0,0,0,0,0,380,378
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_000083191",0.947,0.947674418604651,891,0,0,0,0,0,0,0,2,0,0,4,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,5,0,0,3,0,1,1,0,1,0,0,1,1,2,0,0,0,4,1,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,0,4,0,31,2,1,0,0,0,4,2,1,1,0,0,0,3,0,0,8,0,1,24,1,2,0,0,0,0,0,0,2,0,0,1,0,0,2,0,2,3,17,10,25,93,0,0,248,34,31,2,127,24,9,11,48,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","GG01_000785749",1,1,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG01_000063544",0.994,0.947368421052632,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG01_000656517",1,0.982352941176471,13462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2812,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Molva","Molva molva","GG01_000472081",1,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Crystallogobius","Crystallogobius linearis","GG01_000462989",1,1,3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0,329,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,401,0,0,0,0,0,1,0,0,0,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus","GG01_000100247",1,1,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius","GG01_000138407",1,1,3436,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1260,893
