"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_100","X2021614_101","X2021614_102","X2021614_103","X2021614_104","X2021614_106","X2021614_108","X2021614_113","X2021614_114","X2021614_117","X2021614_118","X2021614_121","X2021614_123","X2021614_126","X2021614_130","X2021614_133","X2021614_136","X2021614_147","X2021614_150","X2021614_154","X2021614_156","X2021614_157","X2021614_159","X2021614_161","X2021614_162","X2021614_163","X2021614_169","X2021614_17","X2021614_171","X2021614_172","X2021614_178","X2021614_181","X2021614_211","X2021614_216","X2021614_217","X2021614_23","X2021614_24","X2021614_31","X2021614_33","X2021614_37","X2021614_38","X2021614_4","X2021614_40","X2021614_46","X2021614_51","X2021614_83","X2021614_9","X2021614_96"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG04_000000520",1,0.958823529411765,42687,0,0,4,0,0,4,0,1,0,0,2,2,3,32492,0,0,7799,0,0,2,0,1,0,0,3,3,2,0,0,0,0,0,2353,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG04_000018545",1,0.982352941176471,23716,4,4,32,0,1,21,4,7,0,0,1,1,5197,4,1,1,10,0,1,1,0,7,0,0,1,5,0,2,0,4,16,0,28,6,18311,0,0,1,0,0,0,0,0,0,0,0,2,43
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Molva","Molva molva","GG04_000830499",0.994,0.994186046511628,8461,0,0,0,0,0,0,0,0,0,0,0,0,7999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG04_000024968",0.994,0.994047619047619,752899,4,4652,1649,30992,8814,57657,61,32900,8147,0,29577,41952,20667,8133,18046,4370,24,138963,41049,25830,2,6936,3,33141,1438,13296,4,21,10504,9,6,55,30423,108152,61912,0,3,1,0,0,1,0,7,2,40,0,16,13440
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi","GG04_000804478",1,0.952662721893491,22,0,0,0,0,5,1,0,1,0,0,0,1,0,0,4,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG04_000232215",0.971,0.970760233918129,303996,1,1,58806,2,5173,13129,2,2,5,0,3,5,15273,4692,22748,7,2095,17405,7,0,0,5,3,1,39464,17734,1,33,0,3,3117,1,29170,0,26848,0,0,1,0,1,0,0,0,3,0,3,32357,15895
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus|Icelus","Artediellus atlanticus|Icelus cataphractus|Icelus spatula","GG04_001408011",1,1,22827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22823,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG04_000677460",1,1,20700,2,0,1,2,20599,8,0,1,1,1,4,4,5,1,0,0,4,2,0,1,0,3,0,0,4,12,0,0,0,1,1,0,9,1,4,0,2,0,0,0,0,0,1,6,1,0,6,13
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG04_000195565",1,1,79207,0,2,7,7,35522,25,1,0,10651,0,18,32769,5,18,3,2,21,13,2,7,0,7,0,3,23,10,4,1,0,5,5,1,14,4,12,0,1,1,0,0,1,0,3,0,3,1,12,23
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis fabricii|Liparis inquilinus|Liparis liparis","GG04_000228285",0.994,0.994082840236686,36,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,3,3,1,0,0,1,0,5,2,4,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3
