"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2018625_1.EB31.05.19","X2018625_15","X2018625_2.LB29.05.19","X2018625_21","X2018625_22","X2018625_24","X2018625_25","X2018625_26","X2018625_29","X2018625_3","X2018625_32","X2018625_33","X2018625_34","X2018625_37","X2018625_39","X2018625_40","X2018625_41","X2018625_5","X2018625_8","X2020611_131","X2020611_132","X2020611_133","X2020611_134","X2020611_135","X2020611_136","X2020611_139","X2020611_140","X2020611_141","X2020611_142","X2020611_143","X2020611_144","X2020611_145","X2020611_147","X2020611_148","X2020611_149","X2020611_150","X2020611_151","X2020611_152","X2020611_EB11042022","X2020611_LB11042022","X2020611_LB13042022","X2021607_146","X2021607_148","X2021607_149","X2021607_150","X2021607_151","X2021607_152","X2021607_153","X2021607_154","X2021607_157","X2021607_158","X2021607_159","X2021607_160","X2021607_161","X2021607_162","X2021607_163","X2021607_164","X2021607_165","X2021607_176","X2021607_183","X2021607_184","X2021607_185","X2021607_190","X2021607_191","X2021607_192","X2021607_193","X2021607_194","X2021607_195","X2021607_197","X2021607_198","X2021607_1EB190521","X2021607_1LB210521","X2021607_1LB270521","X2021607_220","X2021607_223","X2021607_225","X2021607_226","X2021607_228","X2021607_229","X2021607_230","X2021607_231","X2021607_273","X2021607_284","X2021607_2EB110521","X2021607_EB040821","X2021607_EB100821","X2021607_EB230821","X2021607_LB230821","Mock_v5_NF_br1","Mock_v5_NF_br2","Mock_v5_NF_br3","NTC_NF"
"Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia sphenops","GG01_001556730",0.966,0.965714285714286,4428,39,69,58,31,39,59,92,76,53,47,50,58,47,43,34,68,76,55,54,43,41,38,65,70,44,27,40,28,58,21,64,27,39,31,40,63,63,50,76,62,60,71,54,55,67,56,22,31,46,64,16,80,46,57,33,45,72,54,61,64,60,39,13,60,44,84,13,46,65,67,44,51,34,46,49,71,17,42,34,57,57,57,40,31,22,21,65,28,0,18,2,59
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata mustela","GG01_008276437",0.948,0.846590909090909,15455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,2,15289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG01_000540525",0.971,0.898876404494382,148121,0,0,0,0,11,0,0,1,0,0,13,0,0,2,2,1,1,1,0,0,19300,1,1,0,0,2,0,0,0,0,3,0,7,0,5,8,0,1,0,0,0,1,4,1,3,2,3,6,5,0,0,4,0,0,1,5,6,1,5728,0,0,1,2,3,1,2,0,2,3,1,0,0,0,5,2,20,3,16,3,5,20,0,0,0,0,0,0,0,32140,29590,61172,0
"Animalia","Chordata","Teleostei","Gadiformes",NA,NA,NA,"GG01_003179757",0.888888888888889,0.888888888888889,765,0,1,0,0,0,0,0,0,0,0,2,0,0,27,0,0,11,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,15,25,0,0,0,4,10,1,1,0,0,0,1,0,14,14,7,4,1,28,0,42,1,5,0,0,94,100,0,0,0,71,0,84,0,7,30,137,5,0,0,0,0,0,0,0,3,3,10,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_008060607",0.917,0.912280701754386,6763215,5,41707,1,1,24,19,5,39096,2,5,509269,1,10,67381,21896,32857,23804,8,4,20104,25808,11163,30412,12912,22083,53924,12463,25188,46902,23744,12441,4,205252,59301,46213,72959,0,34468,0,2,0,56671,59187,95091,65400,94649,80007,78645,101841,24161,36053,84213,2,6,37995,101044,94560,97865,170130,8489,88972,122998,35277,137591,65106,92697,5384,124373,169114,211666,0,0,5,230216,50005,716950,46929,492242,173864,380350,618049,0,1,5,0,2,2,0,82678,61709,119581,2
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Anisarchus|Leptoclinus","Anisarchus medius|Leptoclinus maculatus","GG01_000056790",0.938,0.840909090909091,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,32,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Lyopsetta","Lyopsetta exilis","GG01_001842793",0.902,0.878612716763006,174,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,11,0,0,0,0,0,0,0,2,0,0,0,0,4,1,1,0,1,0,0,0,2,0,0,0,1,0,17,0,0,0,4,0,0,0,0,0,0,0,0,4,7,11,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_001926138",0.945,0.906976744186046,323,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,0,1,1,0,12,0,0,0,0,0,0,0,10,14,4,0,0,7,1,4,1,2,0,0,34,46,0,0,0,37,0,32,0,22,24,26,11,0,0,0,0,0,0,0,0,0,2,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Raniceps","Raniceps raninus","GG01_005987152",1,0.913793103448276,2573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG01_004041989",0.994,0.884393063583815,5004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
