"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_173","X2021614_21","X2021614_30","X2021614_34","X2021614_6","X2021614_98","X2021614_EB221121_3","X2022607_100","X2022607_103","X2022607_104","X2022607_105","X2022607_106","X2022607_107","X2022607_108","X2022607_109","X2022607_110","X2022607_111","X2022607_148","X2022607_149","X2022607_150","X2022607_152","X2022607_155","X2022607_170","X2022607_174","X2022607_176","X2022607_177","X2022607_178","X2022607_18","X2022607_181","X2022607_182","X2022607_187","X2022607_189","X2022607_198","X2022607_2","X2022607_201","X2022607_204","X2022607_206","X2022607_207","X2022607_208","X2022607_209","X2022607_21","X2022607_211","X2022607_23","X2022607_246","X2022607_25","X2022607_256","X2022607_28","X2022607_29","X2022607_3","X2022607_34","X2022607_4","X2022607_41","X2022607_51","X2022607_54","X2022607_55","X2022607_62","X2022607_63","X2022607_64","X2022607_66","X2022607_68","X2022607_70","X2022607_72","X2022607_75","X2022607_76","X2022607_8","X2022607_80","X2022607_81","X2022607_82","X2022607_83","X2022607_84","X2022607_85","X2022607_86","X2022607_87","X2022607_88","X2022607_91","X2022607_92","X2022607_93","X2022607_94","X2022607_95","X2022607_96","X2022607_97","X2022607_98","X2022607_99","X2022607_EB03062022","X2022607_EB160922_2","X2022607_EB270922","X2022607_LB08062022","X2022607_LB160922","NTC_NI","PC_NI"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Raniceps","Raniceps raninus","GG01_000335496",1,0.913793103448276,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius","GG01_000334371",1,0.86046511627907,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadiculus","Gadiculus argenteus","GG01_001908653",1,0.88953488372093,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG01_000527712",1,0.88953488372093,9843,0,0,0,0,0,0,0,0,0,0,0,9842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG01_005483647",0.953,0.854651162790698,253083,0,1,0,1,0,0,2,0,0,0,0,0,0,5754,0,0,0,25006,629,1,0,0,0,18350,2250,0,16415,4,1,6412,11833,8928,1,0,0,1,0,1,2,2,0,11,0,0,2802,0,0,10,4561,0,21751,1,0,420,0,16994,0,2823,0,25870,0,0,0,0,537,0,0,0,0,749,0,0,0,0,311,0,0,219,0,0,1800,557,0,0,1,1,0,0,0,78071
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_001319811",0.966,0.96551724137931,348779,0,1,0,0,0,8288,1,0,10533,12097,0,11563,0,0,0,705,0,0,0,0,0,4750,601,7253,10331,0,0,0,1153,0,11147,3339,12078,1994,0,5949,12882,1772,492,1424,5038,3232,0,0,5234,0,2755,0,633,0,2399,1567,13854,2,13422,0,4,0,10326,0,3,0,1,6857,3522,4813,0,0,0,2428,0,0,0,3042,29610,12667,2384,28955,6359,7493,63819,0,2,0,0,4,0,1,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GG01_000029372",0.965,0.965317919075145,392786,4266,0,0,0,0,54639,0,4480,9255,21265,2,9368,6830,2560,0,891,0,5157,0,7741,4513,11447,1498,1,0,3869,5337,1079,7317,13582,0,6600,5127,3957,0,14948,9582,11365,1442,3891,1910,1564,1,1,5134,0,4910,0,0,0,1957,12,17745,10238,0,0,5868,5286,11914,6789,1,14607,1,10067,1,6127,2,5195,0,6586,6615,4090,0,1623,0,0,0,7443,9927,11354,3799,8,0,0,1,1,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","GG01_001909690",1,1,9136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275,0,0,2,4060,0,0,0,0,0,0,0,0,0,0,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG01_000574926",0.992,0.936416184971098,20506,0,0,0,0,0,0,0,0,0,0,0,9032,0,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6005,103,0,0,0,3379,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,5,0,0,1,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","GG01_000159105",0.994,0.994082840236686,12612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12606,0,0,0,0,0,0,0
